language,cnt,freq,diff,cnt_additional,cnt_pet_projects,si
JavaScript,1695,19.1,0.56,3186,1012,51.6
Java,1241,13.98,,851,491,72.4
Python,1190,13.41,2.34,1178,612,73.8
C#,1179,13.28,-1.21,533,440,88.1
TypeScript,1179,13.28,3.06,2110,611,80.5
PHP,627,7.06,-3.34,423,252,59.0
Kotlin,286,3.22,-0.11,272,159,88.4
C++,251,2.83,-0.41,321,256,67.3
DB,237,2.67,1.27,3669,204,23.9
Swift,221,2.49,-0.81,151,100,93.8
Go,165,1.86,-0.31,337,164,83.6
Ruby,158,1.78,-0.32,117,81,65.3
Dart,96,1.08,,78,74,83.7
Scala,73,,-0.1,108,49,73.5
Apex,59,,,39,18,70.8
C,58,,-0.28,169,117,51.9
1C,38,,-0.29,29,23,14.7
Groovy,30,,,251,12,14.3
Rust,28,,0.12,60,74,88.5
Elixir,15,,,26,11,78.6
R,9,,,65,19,37.5
Pascal/Delphi,9,,,28,12,28.6
Clojure,6,,,5,9,66.7
Perl,6,,,16,7,0.0
ABAP,5,,,3,1,50.0
Erlang,5,,,5,6,40.0
Objective-C,4,,-0.16,140,21,0.0
APL,2,,,7,,0.0
Flex / Flash / AIR,2,,,3,1,0.0
Haskell,1,,,9,8,0.0
