Timestamp,FirstLanguage,MainLanguage,NowLanguage,NowLanguages2,AdditionalLanguages1,NextLanguage,PetProjectsLanguages,Learn,LearnLanguage,LearnWay,ExperienceInProgramming,ExperienceInLanguage,AgeYears,InUA,InPrev
1/5/2017 8:01:44,Pascal/Delphi,Да,Java,,"JavaScript, Unix Shell",Java,,Да,Scala,Онлайн-курсы,6,6,27,Да,Не помню
1/5/2017 8:03:55,C,Да,JavaScript,,PHP,PHP,"JavaScript, PHP",Нет,,Книги и документацию,5,1,27,Да,Не помню
1/5/2017 8:04:22,C++,Да,Java,,"JavaScript, T-SQL",Java,Java,Нет,,Книги и документацию,5,5,31,Да,Да
1/5/2017 8:05:29,C#,Да,C#,,"JavaScript, T-SQL",C#,,Нет,,Книги и документацию,7,7,27,Да,Нет
1/5/2017 8:05:42,Basic,Нет,Java,,"JavaScript, C, Unix Shell",Java,Java,Нет,,Онлайн-курсы,10+,5,38,Да,Нет
1/5/2017 8:05:52,Pascal/Delphi,Да,Objective-C,,Swift,Objective-C,Objective-C,Да,Swift,Онлайн-курсы,,,,,
1/5/2017 8:05:55,Pascal/Delphi,Да,Java,,"JavaScript, PL-SQL",Java,Java,Да,C++,Книги и документацию,2,3,26,Да,Не помню
1/5/2017 8:06:34,JavaScript,Да,JavaScript,,Unix Shell,JavaScript,JavaScript,Нет,,Онлайн-курсы,5,5,28,Да,Да
1/5/2017 8:06:36,ActionScript,Да,PHP,,"Go, Unix Shell",Go,"JavaScript, PHP, Go",Нет,,Книги и документацию,10+,6,,Да,Да
1/5/2017 8:06:47,C#,Да,Swift,,"Objective-C, C",Swift,Swift,Да,C,Книги и документацию,3,2,31,Да,Не помню
1/5/2017 8:07:25,C#,Да,Java,,"Java, Python",Java,Java,Нет,,Книги и документацию,3,1,26,Да,Нет
1/5/2017 8:07:49,C,Да,JavaScript,,"JavaScript, CoffeeScript",JavaScript,JavaScript,Нет,,Книги и документацию,2,1,23,Да,Да
1/5/2017 8:07:53,C,Да,Java,,JavaScript,Java,JavaScript,Нет,,Книги и документацию,5,5,,Да,Нет
1/5/2017 8:07:53,C++,Нет,Python,,C++,Python,Python,Да,Java,Офлайн-курсы,<1,<1,17,Да,Нет
1/5/2017 8:08:05,Pascal/Delphi,Да,JavaScript,,"Ruby, CoffeeScript",JavaScript,"JavaScript, PHP",Да,Scala,Книги и документацию,6,<1,26,Да,Да
1/5/2017 8:08:07,C,Да,JavaScript,,PHP,PHP,,Да,C#,Книги и документацию,1,1,24,Да,Не помню
1/5/2017 8:08:17,Pascal/Delphi,Да,JavaScript,,PHP,JavaScript,"JavaScript, PHP",Нет,,,9,3,30,Да,Да
1/5/2017 8:08:18,C++,Да,Java,,C++,Kotlin,"Java, Swift, Kotlin",Да,Python,Книги и документацию,3,3,26,Да,Да
1/5/2017 8:08:20,Pascal/Delphi,Да,Python,,JavaScript,Python,Python,Да,PHP,Книги и документацию,<1,<1,,Да,Не помню
1/5/2017 8:08:29,Basic,Нет,Go,,"JavaScript, Python, PL-SQL, Unix Shell",Go,"JavaScript, Python, Perl, Go",Да,Rust,Книги и документацию,10+,2,35,Нет,Нет
1/5/2017 8:08:36,Pascal/Delphi,Да,JavaScript,,"Java, CoffeeScript",JavaScript,"Java, C#, JavaScript",Да,Java,Книги и документацию,2,2,,Да,Нет
1/5/2017 8:08:55,Basic,Да,Java,,"Java, JavaScript, Kotlin",Swift,"Java, Dart",Да,Dart,Книги и документацию,,5,26,Да,Да
