Timestamp,FirstLanguage,MainLanguage,NowLanguage,Main2,AdditionalLanguages1,NextLanguage,PetProjectsLanguages,Learn,LearnLanguage,LearnWay,ExperienceInProgramming,ExperienceInLanguage,AgeYears,InUA,InPrev
1/3/2018 10:03:19,C++,Да,PHP,,JavaScript,PHP,"JavaScript, PHP, TypeScript",Трудно сказать,,,3,3,21,Да,Не помню
1/3/2018 10:03:28,Pascal/Delphi,Да,C#,,"JavaScript, TypeScript",C#,C#,Да,Python,Онлайн курсы,2,2,29,Да,Да
1/3/2018 10:04:40,Pascal/Delphi,Да,C++,,"C, Pascal/Delphi",C++,,Да,JavaScript,Только книги и документацию (не прибегая к курсам),,,,Да,Нет
1/3/2018 10:04:40,Pascal/Delphi,Да,Java,,"Scala, Go, Kotlin",Java,"Scala, Go, Kotlin",Да,Kotlin,Только книги и документацию (не прибегая к курсам),3,3,24,Да,Не помню
1/3/2018 10:04:48,Pascal/Delphi,Да,Python,,JavaScript,Python,"JavaScript, Python",Да,Swift,,10+,7,37,Да,Да
1/3/2018 10:04:53,Basic,Да,PHP,,JavaScript,PHP,"JavaScript, PHP",Да,Java,Только книги и документацию (не прибегая к курсам),7,7,35,Нет,Не помню
1/3/2018 10:05:19,Pascal/Delphi,Да,Java,,JavaScript,JavaScript,"Java, JavaScript, Python",Да,Scala,Онлайн курсы,4,3,24,Да,Да
1/3/2018 10:05:46,C++,Да,PHP,,JavaScript,PHP,PHP,Трудно сказать,Swift,Офлайн курсы,5,5,26,Да,Не помню
1/3/2018 10:06:32,Basic,Да,C++,,"Java, JavaScript, C#, Python, C++, Objective-C, Shell",C++,"Python, C++, GLSL",Трудно сказать,Scala,Онлайн курсы,10+,5,35,Да,Не помню
1/3/2018 10:06:33,JavaScript,Да,TypeScript,,"JavaScript, Python, TypeScript",TypeScript,"JavaScript, TypeScript",Да,Python,Только книги и документацию (не прибегая к курсам),2,1,24,Да,Нет
