"","Timestamp","FirstLanguage","MainLanguage","NowLanguage","Main2","AdditionalLanguages1","NextLanguage","PetProjectsLanguages","Learn","LearnLanguage","LearnWay","ExperienceInProgrammingYears","ExperienceInLanguageYears","AgeYears","InUA","InPrev","ExperienceInProgramming","ExperienceInLanguage","Age"
"1","1/2/2019 10:08:20","Java","Так/Да","Python","","Shell","Java","","Так / Да","JavaScript","Онлайн-курси // Онлайн-курсы",3,1,22,"Так /  Да","Ні / Нет","3","1",22
"3","1/2/2019 10:09:21","C++","Так/Да","JavaScript","","Python, Scala","JavaScript","JavaScript","Так / Да","Go","Книги та документацію // Книги и документацию",10,7,29,"Так /  Да","Не пам'ятаю /  Не помню",NA,"7",29
"4","1/2/2019 10:09:26","C","Так/Да","Ruby","","JavaScript, Shell, Go, TypeScript, C","Ruby","Ruby","Так / Да","Rust","Книги та документацію // Книги и документацию",2,2,20,"Так /  Да","Не пам'ятаю /  Не помню","2","2",20
"5","1/2/2019 10:09:47","Java","Ні/Нет","C#","",".NET","Java","","Так / Да","C#","Онлайн-курси // Онлайн-курсы",2,1,28,"Так /  Да","Ні / Нет","2","1",28
"6","1/2/2019 10:10:04","C++","Так/Да","Python","","JavaScript, Shell, Rust","Python","Python","Так / Да","Rust","Онлайн-курси // Онлайн-курсы",1,1,20,"Так /  Да","Не пам'ятаю /  Не помню","1","1",20
"7","1/2/2019 10:10:19","Pascal/Delphi","Так/Да","C++","","Python, Swift, Kotlin","Kotlin","C#, C++, Kotlin","Так / Да","Kotlin","Онлайн-курси // Онлайн-курсы",14,14,40,"Так /  Да","Так  / Да",NA,NA,40
"8","1/2/2019 10:10:27","Pascal/Delphi","Так/Да","C#","","JavaScript, TypeScript, T-SQL","C#","JavaScript, C#, TypeScript","Так / Да","Scala","Онлайн-курси // Онлайн-курсы",7,7,28,"Так /  Да","Так  / Да","7","7",28
"9","1/2/2019 10:10:42","Pascal/Delphi","Так/Да","Java","","Python, PL-SQL, Groovy","Java","","","Kotlin","Книги та документацію // Книги и документацию",7,2,27,"Так /  Да","Так  / Да","7","2",27
"10","1/2/2019 10:10:51","Java","Так/Да","Java","","","Java","","Ні / Нет","none","Книги та документацію // Книги и документацию",11,11,32,"Ні / Нет","Так  / Да",NA,NA,32
"11","1/2/2019 10:10:53","Scala","Так/Да","Scala","","Shell, Kotlin","Scala","Scala, Haskell","Так / Да","Haskell","Книги та документацію // Книги и документацию",2,2,21,"Так /  Да","Так  / Да","2","2",21
"12","1/2/2019 10:11:10","Python","Так/Да","Python","","Java, PL-SQL","Python","","Так / Да","Java","Офлайн-курси // Офлайн-курсы",2,5,29,"Так /  Да","Ні / Нет","2","5",29
"13","1/2/2019 10:11:16","Pascal/Delphi","Так/Да","Scala","","JavaScript, Ruby","Scala","JavaScript","Так / Да","Kotlin","",12,3,33,"Ні / Нет","Не пам'ятаю /  Не помню",NA,"3",33
"14","1/2/2019 10:11:30","Pascal/Delphi","Так/Да","Java","","Shell, Ruby","Java","","Так / Да","Go","Книги та документацію // Книги и документацию",10,10,32,"Ні / Нет","Так  / Да",NA,NA,32
"15","1/2/2019 10:11:43","C++","Так/Да","Python","","JavaScript, Go","Python","JavaScript, Python, Go","Ні / Нет","none","Книги та документацію // Книги и документацию",2,2,32,"Так /  Да","Так  / Да","2","2",32
"16","1/2/2019 10:11:45","Pascal/Delphi","Ні/Нет","JavaScript","","JavaScript, PHP, Go, TypeScript","Go","JavaScript, Dart","Так / Да","Go","Книги та документацію // Книги и документацию",11,4,33,"Так /  Да","Не пам'ятаю /  Не помню",NA,"4",33
"17","1/2/2019 10:11:59","PHP","Ні/Нет","PHP","","JavaScript, Shell, Go, TypeScript","Go","JavaScript, PHP, Go, TypeScript","Так / Да","Java","Книги та документацію // Книги и документацию",10,12,30,"Так /  Да","Так  / Да",NA,NA,30
"18","1/2/2019 10:12:00","Basic","Так/Да","C++","","C#, Python","C++","C#, C++","Ні / Нет","none","Книги та документацію // Книги и документацию",6,2,28,"Так /  Да","Не пам'ятаю /  Не помню","6","2",28
"19","1/2/2019 10:12:01","C++","Так/Да","C#","","JavaScript, T-SQL","C#","JavaScript, C#","Так / Да","F#","Книги та документацію // Книги и документацию",3,3,24,"Так /  Да","Ні / Нет","3","3",24
"20","1/2/2019 10:12:23","PHP","Так/Да","PHP","","JavaScript","PHP","PHP","Ні / Нет","Python","Онлайн-курси // Онлайн-курсы",NA,1,28,"Так /  Да","Ні / Нет",NA,"1",28
"21","1/2/2019 10:12:28","Ruby","Так/Да","Ruby","","JavaScript","Ruby","JavaScript, Ruby","Так / Да","JavaScript","Книги та документацію // Книги и документацию",1,1,28,"Так /  Да","Ні / Нет","1","1",28
"22","1/2/2019 10:12:42","Pascal/Delphi","Так/Да","JavaScript","","","JavaScript","","Ні / Нет","JavaScript","",4,4,33,"Так /  Да","Ні / Нет","4","4",33
"23","1/2/2019 10:12:42","Basic","Ні/Нет","Kotlin","","Shell, Kotlin, Monkey C","Java","Java, Scala, Kotlin, Groovy, Monkey C","Так / Да","Go","Книги та документацію // Книги и документацию",4,1,28,"Так /  Да","Так  / Да","4","1",28
"24","1/2/2019 10:13:08","Basic","Так/Да","Go","","JavaScript, PHP","Go","JavaScript, PHP, Go","Ні / Нет","none","",20,2,40,"Так /  Да","Так  / Да",NA,"2",40
"25","1/2/2019 10:13:08","Pascal/Delphi","Так/Да","Java","","JavaScript, Python, Kotlin","Kotlin","Go, Kotlin","Так / Да","Go","Книги та документацію // Книги и документацию",5,4,31,"Так /  Да","Так  / Да","5","4",31
"26","1/2/2019 10:13:15","C++","Так/Да","Java","","Kotlin","Kotlin","Java, Python, Kotlin","Так / Да","Python","Онлайн-курси // Онлайн-курсы",2,2,21,"Так /  Да","Не пам'ятаю /  Не помню","2","2",21
"27","1/2/2019 10:13:19","Pascal/Delphi","Так/Да","Java","","","Java","","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",3,3,27,"Ні / Нет","Ні / Нет","3","3",27
"28","1/2/2019 10:13:27","Pascal/Delphi","Так/Да","C#","","Shell, T-SQL","Go","C#, Go, TypeScript, T-SQL","Так / Да","JavaScript","Книги та документацію // Книги и документацию",3,4,20,"Так /  Да","Ні / Нет","3","4",20
"29","1/2/2019 10:13:39","Pascal/Delphi","Так/Да","Java","","Java","Java","Java, JavaScript","Так / Да","C#","Онлайн-курси // Онлайн-курсы",5,5,27,"Так /  Да","Так  / Да","5","5",27
"30","1/2/2019 10:13:42","C++","Так/Да","C++","","Python","C++","C++","Ні / Нет","none","Книги та документацію // Книги и документацию",6,6,28,"Так /  Да","Ні / Нет","6","6",28
"31","1/2/2019 10:14:03","Pascal/Delphi","Так/Да","Ruby","","Java","Java","","Так / Да","none","Книги та документацію // Книги и документацию",5,1,31,"Так /  Да","Не пам'ятаю /  Не помню","5","1",31
"32","1/2/2019 10:14:15","Pascal/Delphi","Ні/Нет","Java","","JavaScript, PHP, 1C, T-SQL","Java","Java, JavaScript, PHP, 1C, T-SQL","Так / Да","Swift","Книги та документацію // Книги и документацию",21,3,42,"Так /  Да","Ні / Нет",NA,"3",42
"33","1/2/2019 10:14:25","Java","Так/Да","Java","","JavaScript, PHP","JavaScript","Java","Так / Да","JavaScript","Онлайн-курси // Онлайн-курсы",9,4,32,"Так /  Да","Так  / Да","9","4",32
"34","1/2/2019 10:14:26","Perl","Так/Да","Swift","","Objective-C","Swift","Swift, Objective-C","Так / Да","Ruby","Онлайн-курси // Онлайн-курсы",3,3,37,"Так /  Да","Не пам'ятаю /  Не помню","3","3",37
"35","1/2/2019 10:14:39","Python","Ні/Нет","JavaScript","","C#, TypeScript, T-SQL","JavaScript","JavaScript, C#","Ні / Нет","none","",1,1,24,"Так /  Да","Так  / Да","1","1",24
"36","1/2/2019 10:14:41","Pascal/Delphi","Так/Да","Python","","","Python","JavaScript, Python","Так / Да","Common Lisp","Книги та документацію // Книги и документацию",3,1,27,"Так /  Да","Не пам'ятаю /  Не помню","3","1",27
"37","1/2/2019 10:14:45","Fortran","Так/Да","C#","","TypeScript, T-SQL","C#","C#, C++, TypeScript, T-SQL","Так / Да","Kotlin","Онлайн-курси // Онлайн-курсы",20,15,49,"Так /  Да","Так  / Да",NA,NA,49
"38","1/2/2019 10:14:56","Perl","Так/Да","Java","","Kotlin, Groovy","Java","Java","Так / Да","Kotlin","Книги та документацію // Книги и документацию",8,6,35,"Так /  Да","Так  / Да","8","6",35
"39","1/2/2019 10:15:09","C","Так/Да","JavaScript","","Shell, Java, Swift, TypeScript, Objective-C, Kotlin","JavaScript","","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",2,2,26,"Так /  Да","Не пам'ятаю /  Не помню","2","2",26
"40","1/2/2019 10:15:22","JavaScript","Так/Да","PHP","","JavaScript","JavaScript","JavaScript","Так / Да","Python","Офлайн-курси // Офлайн-курсы",2,2,24,"Так /  Да","Так  / Да","2","2",24
"41","1/2/2019 10:15:27","C","Так/Да","Java","","JavaScript, C#, Scala","C#","Java, C#, Swift, Objective-C","Ні / Нет","none","",5,3,31,"Ні / Нет","Не пам'ятаю /  Не помню","5","3",31
"42","1/2/2019 10:15:32","JavaScript","Так/Да","JavaScript","","","Python","","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",2,1,27,"Так /  Да","Ні / Нет","2","1",27
"43","1/2/2019 10:15:37","JavaScript","Так/Да","Python","","Python","Java","","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",4,2,33,"Так /  Да","Не пам'ятаю /  Не помню","4","2",33
"44","1/2/2019 10:15:39","Python","Так/Да","C#","","PHP, Python, C++","C#","JavaScript, PHP","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",4,2,33,"Ні / Нет","Ні / Нет","4","2",33
"45","1/2/2019 10:15:49","C","Так/Да","C++","","Shell, Python, C++, C","C++","PHP, Python, C++","Ні / Нет","Python","Книги та документацію // Книги и документацию",3,3,23,"Так /  Да","Ні / Нет","3","3",23
"46","1/2/2019 10:15:50","JavaScript","Так/Да","JavaScript","","Java","JavaScript","JavaScript","Так / Да","Python","Книги та документацію // Книги и документацию",1,1,22,"Так /  Да","Ні / Нет","1","1",22
"47","1/2/2019 10:15:50","C++","Так/Да","Java","","Shell, Python, PL-SQL","Java","Java, C#","Так / Да","Scala","Книги та документацію // Книги и документацию",2,3,19,"Так /  Да","Не пам'ятаю /  Не помню","2","3",19
"48","1/2/2019 10:16:21","C++","Так/Да","Java","","JavaScript, Shell, Python","Java","Java, JavaScript, Go","Так / Да","JavaScript","Книги та документацію // Книги и документацию",11,8,33,"Так /  Да","Так  / Да",NA,"8",33
"50","1/2/2019 10:16:28","Pascal/Delphi","Так/Да","C#","","JavaScript, T-SQL","C#","","Ні / Нет","none","Книги та документацію // Книги и документацию",3,3,23,"Так /  Да","Не пам'ятаю /  Не помню","3","3",23
"51","1/2/2019 10:16:53","R","Так/Да","R","","T-SQL","R","T-SQL, R","Так / Да","Go","Онлайн-курси // Онлайн-курсы",2,3,26,"Так /  Да","Ні / Нет","2","3",26
"52","1/2/2019 10:17:00","JavaScript","Так/Да","PHP","","JavaScript","PHP","","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",4,3,28,"Так /  Да","Ні / Нет","4","3",28
"54","1/2/2019 10:17:38","Basic","Так/Да","Pascal/Delphi","","JavaScript, C#, PHP, Python, T-SQL","Pascal/Delphi","Python","Так / Да","Kotlin","Офлайн-курси // Офлайн-курсы",10,10,36,"Так /  Да","Так  / Да",NA,NA,36
"55","1/2/2019 10:17:52","JavaScript","Так/Да","TypeScript","","JavaScript","TypeScript","","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",2.5,2.5,29,"Так /  Да","Ні / Нет",NA,NA,29
"57","1/2/2019 10:18:04","C","Так/Да","Go","","JavaScript, Shell, Java","Go","JavaScript, PHP, Go, C","Ні / Нет","none","Онлайн-курси // Онлайн-курсы",1,0.5,27,"Так /  Да","Ні / Нет","1",NA,27
"58","1/2/2019 10:18:04","C","Так/Да","C","","Python, C++","C++","C","Так / Да","C++","Офлайн-курси // Офлайн-курсы",1,2,21,"Так /  Да","Ні / Нет","1","2",21
"59","1/2/2019 10:18:08","Pascal/Delphi","Так/Да","C#","","JavaScript, PL-SQL, T-SQL","C#","","Так / Да","Go","Книги та документацію // Книги и документацию",12,12,31,"Так /  Да","Не пам'ятаю /  Не помню",NA,NA,31
"60","1/2/2019 10:18:14","Pascal/Delphi","Так/Да","Go","","JavaScript, Shell, Python","Go","JavaScript, Python, Go","Так / Да","Ruby","Книги та документацію // Книги и документацию",2,1,20,"Так /  Да","Не пам'ятаю /  Не помню","2","1",20
"61","1/2/2019 10:18:16","PHP","Так/Да","PHP","","JavaScript, PHP, C++","Python","JavaScript, PHP, C++","Так / Да","Python","Книги та документацію // Книги и документацию",4,3,18,"Так /  Да","Ні / Нет","4","3",18
"62","1/2/2019 10:18:18","Pascal/Delphi","Так/Да","Java","","Shell, Ruby, Scala","Java","Java","Так / Да","Kotlin","Онлайн-курси // Онлайн-курсы",7,4,28,"Ні / Нет","Так  / Да","7","4",28
"64","1/2/2019 10:18:44","Basic","Так/Да","Java","","JavaScript","Java","Java","Так / Да","JavaScript","Книги та документацію // Книги и документацию",3,3,29,"Так /  Да","Так  / Да","3","3",29
"65","1/2/2019 10:18:59","C","Так/Да","Java","","","Java","","Ні / Нет","Python","Книги та документацію // Книги и документацию",NA,NA,NA,"","",NA,NA,NA
"66","1/2/2019 10:19:10","PHP","Так/Да","Kotlin","","Java","Kotlin","","Ні / Нет","Dart под Flutter, если оно заведётся.","Книги та документацію // Книги и документацию",3,0.5,30,"Так /  Да","Так  / Да","3",NA,30
"67","1/2/2019 10:19:12","Java","Так/Да","Java","","Shell","Java","Java, JavaScript, Kotlin","Так / Да","Kotlin","Книги та документацію // Книги и документацию",3,3,27,"Так /  Да","Так  / Да","3","3",27
