"","x"
"Groovy",0.111111111111111
"Objective-C",0.117647058823529
"PL-SQL",0.19047619047619
"Perl",0.214285714285714
"T-SQL",0.264150943396226
"R",0.3
"1C",0.342105263157895
"Pascal/Delphi",0.351851851851852
"C",0.358778625954198
"Apex",0.454545454545455
"PHP",0.611166500498505
"C++",0.628415300546448
"JavaScript",0.636363636363636
"TypeScript",0.673469387755102
"Ruby",0.676348547717842
"Java",0.710754843019372
"Python",0.736323851203501
"Erlang",0.739130434782609
"C#",0.806479113384484
"Scala",0.815384615384615
"Kotlin",0.885
"Go",0.908496732026144
"Swift",0.917695473251029
