Timestamp,FirstLanguage,MainLanguage,NowLanguage,Main2,AdditionalLanguages1,NextLanguage,PetProjectsLanguages,Learn,LearnLanguage,LearnWay,ExperienceInProgrammingYears,ExperienceInLanguageYears,AgeYears,InUA,InPrev
1/2/2019 10:08:20,Java,Так/Да,Python,,Unix Shell,Java,,Так / Да,JavaScript,Онлайн-курси // Онлайн-курсы,3,1,22,Так /  Да,Ні / Нет
1/2/2019 10:09:06,Pascal/Delphi,Так/Да,Rust,,"Python, C++, Go",Python,"Python, Go",Ні / Нет,,Книги та документацію // Книги и документацию,9,0,30,Ні / Нет,Не пам'ятаю /  Не помню
1/2/2019 10:09:21,C++,Так/Да,JavaScript,,"Python, Scala",JavaScript,JavaScript,Так / Да,Go,Книги та документацію // Книги и документацию,10,7,29,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:09:26,C,Так/Да,Ruby,,"JavaScript, Unix Shell, Go, TypeScript, C",Ruby,Ruby,Так / Да,Rust,Книги та документацію // Книги и документацию,2,2,20,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:09:47,Java,Ні/Нет,C#,,.NET,Java,,Так / Да,C#,Онлайн-курси // Онлайн-курсы,2,1,28,Так /  Да,Ні / Нет
1/2/2019 10:10:04,C++,Так/Да,Python,,"JavaScript, Unix Shell, Rust",Python,Python,Так / Да,Rust,Онлайн-курси // Онлайн-курсы,1,1,20,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:10:19,Pascal/Delphi,Так/Да,C++,,"Python, Swift, Kotlin",Kotlin,"C#, C++, Kotlin",Так / Да,Kotlin,Онлайн-курси // Онлайн-курсы,14,14,40,Так /  Да,Так  / Да
1/2/2019 10:10:27,Pascal/Delphi,Так/Да,C#,,"JavaScript, TypeScript, T-SQL",C#,"JavaScript, C#, TypeScript",Так / Да,Scala,Онлайн-курси // Онлайн-курсы,7,7,28,Так /  Да,Так  / Да
1/2/2019 10:10:42,Pascal/Delphi,Так/Да,Java,,"Python, PL-SQL, Groovy",Java,,,Kotlin,Книги та документацію // Книги и документацию,7,2,27,Так /  Да,Так  / Да
1/2/2019 10:10:51,Java,Так/Да,Java,,,Java,,Ні / Нет,,Книги та документацію // Книги и документацию,11,11,32,Ні / Нет,Так  / Да
1/2/2019 10:10:53,Scala,Так/Да,Scala,,"Unix Shell, Kotlin",Scala,"Scala, Haskell",Так / Да,Haskell,Книги та документацію // Книги и документацию,2,2,21,Так /  Да,Так  / Да
1/2/2019 10:11:10,Python,Так/Да,Python,,"Java, PL-SQL",Python,,Так / Да,Java,Офлайн-курси // Офлайн-курсы,2,5,29,Так /  Да,Ні / Нет
1/2/2019 10:11:16,Pascal/Delphi,Так/Да,Scala,,"JavaScript, Ruby",Scala,JavaScript,Так / Да,Kotlin,,12,3,33,Ні / Нет,Не пам'ятаю /  Не помню
1/2/2019 10:11:30,Pascal/Delphi,Так/Да,Java,,"Unix Shell, Ruby",Java,,Так / Да,Go,Книги та документацію // Книги и документацию,10,10,32,Ні / Нет,Так  / Да
1/2/2019 10:11:43,C++,Так/Да,Python,,"JavaScript, Go",Python,"JavaScript, Python, Go",Ні / Нет,,Книги та документацію // Книги и документацию,2,2,32,Так /  Да,Так  / Да
1/2/2019 10:11:45,Pascal/Delphi,Ні/Нет,JavaScript,,"JavaScript, PHP, Go, TypeScript",Go,"JavaScript, dart",Так / Да,Go,Книги та документацію // Книги и документацию,11,4,33,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:11:59,PHP,Ні/Нет,PHP,,"JavaScript, Unix Shell, Go, TypeScript",Go,"JavaScript, PHP, Go, TypeScript",Так / Да,Java,Книги та документацію // Книги и документацию,10,12,30,Так /  Да,Так  / Да
1/2/2019 10:12:00,Basic,Так/Да,C++,,"C#, Python",C++,"C#, C++",Ні / Нет,,Книги та документацію // Книги и документацию,6,2,28,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:12:01,C++,Так/Да,C#,,"JavaScript, T-SQL",C#,"JavaScript, C#",Так / Да,F#,Книги та документацію // Книги и документацию,3,3,24,Так /  Да,Ні / Нет
1/2/2019 10:12:23,PHP,Так/Да,PHP,,JavaScript,PHP,PHP,Ні / Нет,Python,Онлайн-курси // Онлайн-курсы,,1,28,Так /  Да,Ні / Нет
1/2/2019 10:12:28,Ruby,Так/Да,Ruby,,JavaScript,Ruby,"JavaScript, Ruby",Так / Да,JavaScript,Книги та документацію // Книги и документацию,1,1,28,Так /  Да,Ні / Нет
1/2/2019 10:12:42,Pascal/Delphi,Так/Да,JavaScript,,,JavaScript,,Ні / Нет,JavaScript,,4,4,33,Так /  Да,Ні / Нет
1/2/2019 10:12:42,Basic,Ні/Нет,Kotlin,,"Unix Shell, Kotlin, Monkey C",Java,"Java, Scala, Kotlin, Groovy, Monkey C",Так / Да,Go,Книги та документацію // Книги и документацию,4,1,28,Так /  Да,Так  / Да
1/2/2019 10:13:08,Basic,Так/Да,Go,,"JavaScript, PHP",Go,"JavaScript, PHP, Go",Ні / Нет,,,20,2,40,Так /  Да,Так  / Да
1/2/2019 10:13:08,Pascal/Delphi,Так/Да,Java,,"JavaScript, Python, Kotlin",Kotlin,"Go, Kotlin",Так / Да,Go,Книги та документацію // Книги и документацию,5,4,31,Так /  Да,Так  / Да
1/2/2019 10:13:15,C++,Так/Да,Java,,Kotlin,Kotlin,"Java, Python, Kotlin",Так / Да,Python,Онлайн-курси // Онлайн-курсы,2,2,21,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:13:19,Pascal/Delphi,Так/Да,Java,,,Java,,Ні / Нет,,Онлайн-курси // Онлайн-курсы,3,3,27,Ні / Нет,Ні / Нет
1/2/2019 10:13:27,Pascal/Delphi,Так/Да,C#,,"Unix Shell, T-SQL",Go,"C#, Go, TypeScript, T-SQL",Так / Да,JavaScript,Книги та документацію // Книги и документацию,3,4,20,Так /  Да,Ні / Нет
1/2/2019 10:13:39,Pascal/Delphi,Так/Да,Java,,Java,Java,"Java, JavaScript",Так / Да,C#,Онлайн-курси // Онлайн-курсы,5,5,27,Так /  Да,Так  / Да
1/2/2019 10:13:42,C++,Так/Да,C++,,Python,C++,C++,Ні / Нет,,Книги та документацію // Книги и документацию,6,6,28,Так /  Да,Ні / Нет
1/2/2019 10:14:03,Pascal/Delphi,Так/Да,Ruby,,Java,Java,,Так / Да,,Книги та документацію // Книги и документацию,5,1,31,Так /  Да,Не пам'ятаю /  Не помню
1/2/2019 10:14:15,Pascal/Delphi,Ні/Нет,Java,,"JavaScript, PHP, 1C, T-SQL",Java,"Java, JavaScript, PHP, 1C, T-SQL",Так / Да,Swift,Книги та документацію // Книги и документацию,21,3,42,Так /  Да,Ні / Нет
1/2/2019 10:14:25,Java,Так/Да,Java,,"JavaScript, PHP",JavaScript,Java,Так / Да,JavaScript,Онлайн-курси // Онлайн-курсы,9,4,32,Так /  Да,Так  / Да
