"","x"
"JavaScript",0.208989738401503
"Python",0.13022113022113
"Java",0.113961555138026
"C#",0.101965601965602
"PHP",0.0803584332996098
"TypeScript",0.0692296574649516
"C++",0.0690128631305102
"Kotlin",0.0292672351495881
"Go",0.0289059112588524
"C",0.0277496748084983
"Swift",0.0224743460037578
"Ruby",0.0175603410897529
"T-SQL",0.0153923977453389
"Pascal/Delphi",0.0145252204075733
"Rust",0.0102615984968926
"Scala",0.00990027460615696
"1C",0.00867177337765573
"Dart",0.00816591993062581
"PL-SQL",0.00679288914583032
"Objective-C",0.00549212313918196
