Timestamp,FirstLanguage,MainLanguage,NowLanguage,NowLanguages2,AdditionalLanguages1,NextLanguage,PetProjectsLanguages,Learn,LearnLanguage,LearnWay,ExperienceInProgrammingYears,ExperienceInLanguageYears,AgeYears,InUA,InPrev
1/8/2020 10:04:36,Python,Так,Java,,Unix Shell,Java,Java,Так,Scala,Книги та документацію,1,1,21,Так,Не пам'ятаю
1/8/2020 10:04:37,Pascal/Delphi,Так,PHP,,"JavaScript, Go",PHP,PHP,Так,Go,Книги та документацію,5,5,28,Так,Ні
1/8/2020 10:04:55,JavaScript,Так,JavaScript,,Python,JavaScript,JavaScript,Так,Python,Онлайн-курси,1,1,26,Так,Ні
1/8/2020 10:04:57,Python,Так,Python,,"Python, R",Python,Python,Так,Scala,Онлайн-курси,2,2,21,Так,Ні
1/8/2020 10:05:32,JavaScript,Так,TypeScript,,JavaScript,TypeScript,Go,Так,Go,,3,3,20,Так,Так
1/8/2020 10:05:36,Basic,Так,Python,,JavaScript,Python,"Python, Ruby",Ні,,Книги та документацію,16,2,38,Ні,Так
1/8/2020 10:05:52,Python,Так,C#,,"JavaScript, T-SQL",C#,C#,Ні,,Онлайн-курси,4,4,27,Так,Не пам'ятаю
1/8/2020 10:06:16,Pascal/Delphi,Так,C#,,T-SQL,C#,C#,Так,Python,Книги та документацію,10,10,33,Так,Не пам'ятаю
1/8/2020 10:06:29,Pascal/Delphi,Так,C#,,"JavaScript, Unix Shell, TypeScript, T-SQL, PowerShell",C#,C#,Ні,,,8,10,26,Ні,Так
1/8/2020 10:06:59,C++,Так,JavaScript,,"Python, TypeScript",Python,"Java, JavaScript, Python, TypeScript",Так,Python,Онлайн-курси,3,2,24,Так,Ні
1/8/2020 10:07:20,C++,Ні,,"PHP, Python",JavaScript,PHP,Python,Так,PHP,Офлайн-курси,3,1.5,23,Так,Так
1/8/2020 10:07:21,Perl,Так,TypeScript,,"JavaScript, Unix Shell, PHP",TypeScript,TypeScript,Так,PHP,Книги та документацію,3,2,30,Так,Так
1/8/2020 10:07:31,Basic,Ні,,"Java, C#, Kotlin",Groovy,Kotlin,"Kotlin, Dart",Ні,,Онлайн-курси,8,6,27,Так,Не пам'ятаю
1/8/2020 10:07:34,Pascal/Delphi,Так,JavaScript,,,JavaScript,JavaScript,Так,Go,Книги та документацію,3,3,32,Так,Не пам'ятаю
1/8/2020 10:07:45,C++,Так,PHP,,"JavaScript, Unix Shell",Python,,Так,Python,Книги та документацію,2,2,26,Так,Не пам'ятаю
1/8/2020 10:07:50,Pascal/Delphi,Ні,,TypeScript,Java,Java,"Java, TypeScript",Ні,,Книги та документацію,2,0.25,24,Так,Так
1/8/2020 10:07:58,Pascal/Delphi,Ні,,"Java, T-SQL",Python,Java,,Так,C#,Онлайн-курси,12,3,35,Так,Так
1/8/2020 10:07:58,Python,Так,Python,,"JavaScript, Python",Python,"JavaScript, Python",Так,Java,Книги та документацію,1,1,26,Так,Ні
1/8/2020 10:08:18,C++,Так,JavaScript,,JavaScript,JavaScript,"JavaScript, Python",Ні,,Онлайн-курси,1,2,20,Так,Так
1/8/2020 10:08:31,Ruby,Так,Python,,PL-SQL,Python,"JavaScript, Python, PL-SQL",Ні,Python,Онлайн-курси,1,3,20,Так,Ні
1/8/2020 10:08:32,Swift,Так,Swift,,"JavaScript, Objective-C",Swift,"Java, JavaScript, Swift",Ні,,,4,3,23,Так,Не пам'ятаю
1/8/2020 10:08:43,Pascal/Delphi,Так,JavaScript,,TypeScript,TypeScript,"JavaScript, PHP, TypeScript",Так,Python,Книги та документацію,1.5,1.5,20,Так,Так
1/8/2020 10:08:48,JavaScript,Так,JavaScript,,TypeScript,TypeScript,"JavaScript, TypeScript",Так,TypeScript,Книги та документацію,1,1,32,Так,Не пам'ятаю
1/8/2020 10:08:51,Basic,Так,Clojure,,,Clojure,,Ні,Rust,Книги та документацію,12,0.5,35,Так,Не пам'ятаю
1/8/2020 10:09:00,Pascal/Delphi,Так,Perl,,"JavaScript, Python, Unix Shell, C#",Python,"Python, Kotlin",Так,TypeScript,Книги та документацію,7,7,26,Ні,Не пам'ятаю
1/8/2020 10:09:01,JavaScript,Так,JavaScript,,"TypeScript, PHP",JavaScript,JavaScript,Так,PHP,Книги та документацію,2,2,29,Так,Ні
1/8/2020 10:09:26,Java,Так,JavaScript,,,JavaScript,,Так,TypeScript,Книги та документацію,1.5,1.5,31,Так,Ні
1/8/2020 10:09:32,Pascal/Delphi,Так,C#,,"JavaScript, T-SQL",C#,,Так,Python,Онлайн-курси,14,14,34,Так,Так
1/8/2020 10:09:32,ALGO,Так,Java,,"JavaScript, Python, T-SQL, PHP, C#",Java,Java,Ні,,,8,8,30,Так,Так
1/8/2020 10:09:39,Pascal/Delphi,Так,Java,,Python,Java,"Java, JavaScript, C#, Python",Так,Python,Книги та документацію,20,9,42,Так,Ні
1/8/2020 10:09:40,Basic,Так,Python,,"Python, C",Kotlin,"Python, C",Так,Java,Книги та документацію,3,2,30,Так,Не пам'ятаю
1/8/2020 10:09:48,PHP,Так,PHP,,JavaScript,PHP,,Так,Python,Онлайн-курси,6,6,31,Так,Ні
1/8/2020 10:09:49,C++,Так,C++,,"Python, Unix Shell, C#, C, Objective-C",C++,C++,Так,Rust,Книги та документацію,,,,,
1/8/2020 10:09:49,JavaScript,Так,TypeScript,,JavaScript,Java,JavaScript,Так,Python,Онлайн-курси,4,4,34,Так,Ні
1/8/2020 10:09:51,PHP,Так,PHP,,JavaScript,Python,PHP,Так,Python,Онлайн-курси,9,9,30,Так,Так
1/8/2020 10:10:03,PHP,Так,PHP,,JavaScript,Python,PHP,Так,Python,Онлайн-курси,9,9,30,Так,Так
1/8/2020 10:10:07,Basic,Так,X++,,,X++,C,Ні,,Онлайн-курси,15,1,43,Так,Не пам'ятаю
1/8/2020 10:10:15,Pascal/Delphi,Так,C#,,C++,C#,C#,Так,JavaScript,Онлайн-курси,4,3,26,Так,Так
1/8/2020 10:11:07,C++,Так,TypeScript,,TypeScript,TypeScript,JavaScript,Ні,,Онлайн-курси,1,1,20,Так,Ні
1/8/2020 10:11:25,Pascal/Delphi,Так,Java,,JavaScript,Java,,Так,Scala,Онлайн-курси,2,2,21,Так,Не пам'ятаю
1/8/2020 10:11:29,Pascal/Delphi,Так,Kotlin,,"JavaScript, Java",Java,,Так,JavaScript,Онлайн-курси,5,4,30,Ні,Не пам'ятаю
1/8/2020 10:11:35,JavaScript,Так,TypeScript,,"JavaScript, Dart",TypeScript,"TypeScript, Dart",Так,Dart,Офлайн-курси,3,2,24,Так,Не пам'ятаю
1/8/2020 10:11:43,Pascal/Delphi,Так,Java,,"JavaScript, Python, TypeScript",Java,,Так,Clojure,Онлайн-курси,9,9,30,Так,Ні
1/8/2020 10:12:05,Pascal/Delphi,Так,PHP,,"JavaScript, TypeScript, PHP",Go,PHP,Так,Go,Онлайн-курси,2.5,2.5,21,Так,Не пам'ятаю
1/8/2020 10:12:11,Pascal/Delphi,Так,Ruby,,"JavaScript, PHP",Ruby,,Так,Go,Книги та документацію,10,3,34,Ні,Так
1/8/2020 10:12:26,Pascal/Delphi,Так,Python,,"JavaScript, Go",Python,Python,Так,Go,Книги та документацію,15,2,35,Так,Ні
1/8/2020 10:12:56,Swift,Так,Swift,,Objective-C,Swift,,Ні,TypeScript,Онлайн-курси,3,3,27,Так,Так
1/8/2020 10:12:59,JavaScript,Так,TypeScript,,"JavaScript, TypeScript",TypeScript,,Так,Ruby,Онлайн-курси,4,4,27,Так,Не пам'ятаю
