"","Так","Ні"
"JavaScript",0.170247933884298,0.0909090909090909
"Java",0.13313298271976,0.192207792207792
"C#",0.135987978963186,0.0675324675324675
"Python",0.109090909090909,0.142857142857143
"PHP",0.0963185574755823,0.0571428571428571
"TypeScript",0.0644628099173554,0.0597402597402597
"C++",0.0417731029301277,0.0571428571428571
"Ruby",0.0274981217129977,0.0311688311688312
"Swift",0.0283996994740796,0.0311688311688312
"C",0.0105184072126221,0.0181818181818182
"Go",0.0181818181818182,0.0207792207792208
"Scala",0.0154770848985725,0.025974025974026
