"","x"
"JavaScript",0.181118986578193
"Java",0.147489066505806
"C#",0.143115668828231
"Python",0.121248680440356
"PHP",0.101342180666566
"TypeScript",0.0692203287588599
"C++",0.0459960790227718
"Swift",0.0307645905594933
"Ruby",0.0298597496606847
"Kotlin",0.0262403860654502
"Go",0.0199064997737898
"Scala",0.0174935907103001
"C",0.0119137385009802
"1C",0.00950082943749057
"T-SQL",0.00904840898808626
"Dart",0.00829437490574574
"PL-SQL",0.00512743175991555
"Pascal/Delphi",0.0034685567787664
"R",0.0033177499622983
"Apex",0.00271452269642588
"Elixir",0.00256371587995777
