"","x"
".Net",0.208409506398537
"Asp.net",0.161486898232785
"Entity Framework",0.121267519804997
"(Other)",0.104204753199269
"Angular",0.0426569165143205
"Nunit",0.0231566118220597
"Dapper",0.0213284582571603
"Wpf",0.020109689213894
"React",0.0195003046922608
"Newtonsoft.json",0.0152346130408288
"Unity",0.0146252285191956
"Automapper",0.0134064594759293
"Selenium",0.0127970749542962
"Xamarin",0.0115783059110299
"Xunit",0.0115783059110299
"Asp.net Mvc",0.0103595368677636
"Linq",0.00853138330286411
"Mediatr",0.00853138330286411
"Jquery",0.00792199878123096
"Polly",0.00609384521633151
"Fluentassertions",0.00548446069469835
"Moq",0.00548446069469835
"Swagger",0.00548446069469835
"Autofac",0.0048750761730652
"Mvc",0.0048750761730652
"Serilog",0.0048750761730652
"Restsharp",0.00426569165143205
"",0.0036563071297989
"Ado.net",0.0036563071297989
"Bootstrap",0.0036563071297989
"Json.net",0.0036563071297989
"Asp.net Web Api",0.00304692260816575
"Blazor",0.00304692260816575
"Mvvmcross",0.00304692260816575
"Nhibernate",0.00304692260816575
"Unity3d",0.00304692260816575
"Vue.js",0.00304692260816575
"Asp .Net",0.0024375380865326
"Devexpress",0.0024375380865326
"Docker",0.0024375380865326
"Nswag",0.0024375380865326
"React.js",0.0024375380865326
"Signalr",0.0024375380865326
"Unityengine",0.0024375380865326
"Wcf",0.0024375380865326
"Xamarin.forms",0.0024375380865326
