"","x"
"Hibernate",0.166666666666667
"Selenium",0.0740740740740741
"Quarkus",0.0555555555555556
"Testng",0.0493827160493827
"Angular",0.0432098765432099
"Gwt",0.0432098765432099
"Selenide",0.037037037037037
"Java Ee",0.0246913580246914
"Spring",0.0185185185185185
"Spring Boot",0.0185185185185185
"Cxf",0.0123456790123457
"Guice",0.0123456790123457
"Jsp",0.0123456790123457
"Junit",0.0123456790123457
"Maven",0.0123456790123457
"Oracle Commerce",0.0123456790123457
"Osgi",0.0123456790123457
"Rest Assured",0.0123456790123457
"...",0.00617283950617284
"Aem",0.00617283950617284
"Akka Http",0.00617283950617284
"Android",0.00617283950617284
"Android Framework",0.00617283950617284
"Apache",0.00617283950617284
"Apache Beam",0.00617283950617284
"Apache Felix",0.00617283950617284
"Apache Sling",0.00617283950617284
"Apache Struts",0.00617283950617284
"Apache Struts 2",0.00617283950617284
"Apache Wicket",0.00617283950617284
"Appium",0.00617283950617284
"Atg",0.00617283950617284
"Aws Sam",0.00617283950617284
"Bootstrap",0.00617283950617284
"Coldfusion",0.00617283950617284
"Django",0.00617283950617284
"Ee",0.00617283950617284
"Git",0.00617283950617284
"Github Actions",0.00617283950617284
"Gson",0.00617283950617284
"Helix",0.00617283950617284
"Hibernate Jpa",0.00617283950617284
"Hybris",0.00617283950617284
"Ibm Websphere",0.00617283950617284
"J2ee",0.00617283950617284
"Jakarta Ee",0.00617283950617284
"Javaee",0.00617283950617284
"Jersey",0.00617283950617284
"Jquery",0.00617283950617284
"Jwt",0.00617283950617284
"Liferay",0.00617283950617284
"Liquibase",0.00617283950617284
"Micronaut",0.00617283950617284
"Mulesoft",0.00617283950617284
"Nc",0.00617283950617284
"Netty",0.00617283950617284
"Okhttp",0.00617283950617284
"Quarqus",0.00617283950617284
"Qurkus",0.00617283950617284
"Ratpack",0.00617283950617284
"React",0.00617283950617284
"Rest-Assured",0.00617283950617284
"Richfaces",0.00617283950617284
"Selenium Wd",0.00617283950617284
"Selenoid",0.00617283950617284
"Serenity",0.00617283950617284
"Servlets",0.00617283950617284
"Sling",0.00617283950617284
"Smallrye",0.00617283950617284
"Spark",0.00617283950617284
"Spring Batch",0.00617283950617284
"Spring Mvc",0.00617283950617284
"Struts",0.00617283950617284
"Struts2",0.00617283950617284
"Thymeleaf",0.00617283950617284
"Webpack",0.00617283950617284
"Часть Работы Связанна С Php И Symfony.",0.00617283950617284
"Чистая Java",0.00617283950617284
