"","x"
"Hibernate",0.161458333333333
"Lombok",0.0520833333333333
"Selenium",0.046875
"Junit",0.03125
"Apache Camel",0.0260416666666667
"(Other)",0.0260416666666667
"Testng",0.0208333333333333
"Guava",0.015625
"Guice",0.015625
"Spring Boot",0.015625
"Android Sdk",0.0104166666666667
"Angular",0.0104166666666667
"Apache Commons",0.0104166666666667
"Appium",0.0104166666666667
"Dagger",0.0104166666666667
"Flyway",0.0104166666666667
"Gcp",0.0104166666666667
"Git",0.0104166666666667
"Grpc",0.0104166666666667
"Gson",0.0104166666666667
"Hybris",0.0104166666666667
"Mockito",0.0104166666666667
"Nats",0.0104166666666667
"Okhttp",0.0104166666666667
"Osgi",0.0104166666666667
"Rabbit Mq",0.0104166666666667
"Rest Assured",0.0104166666666667
"Retrofit",0.0104166666666667
"Spring",0.0104166666666667
"Spring Cloud",0.0104166666666667
"Svn",0.0104166666666667
"Tomcat",0.0104166666666667
"Weblogic",0.0104166666666667
