"","x"
"Laravel",0.0925925925925926
"Node.js",0.0925925925925926
"Hapi",0.0833333333333333
"Nuxt.js",0.0462962962962963
"Django",0.0277777777777778
"Fastify",0.0277777777777778
"Meteor",0.0277777777777778
"Salesforce Commerce Cloud",0.0277777777777778
"-",0.0185185185185185
"Graphql",0.0185185185185185
"Hapi.js",0.0185185185185185
"Impress",0.0185185185185185
"Loopback",0.0185185185185185
"Nodejs",0.0185185185185185
"Rails",0.0185185185185185
"Ruby",0.0185185185185185
"Sails",0.0185185185185185
"Sfcc",0.0185185185185185
"Wordpress",0.0185185185185185
