"","x"
"Redux",0.117647058823529
"Lodash",0.0718954248366013
"Bootstrap",0.0392156862745098
"Axios",0.0261437908496732
"Graphql",0.0261437908496732
"Ramda",0.0261437908496732
"Jest",0.0196078431372549
"Typescript",0.0196078431372549
"Underscore",0.0196078431372549
"Apollo",0.0130718954248366
"Cypress",0.0130718954248366
"Formik",0.0130718954248366
"Handlebars",0.0130718954248366
"Laravel",0.0130718954248366
"Material-Ui",0.0130718954248366
"Metarhia",0.0130718954248366
"Moment",0.0130718954248366
"Quasar",0.0130718954248366
"Rxjs",0.0130718954248366
"Sequelize",0.0130718954248366
"Storybook",0.0130718954248366
"Three.js",0.0130718954248366
