"","x"
"Java",0.233908045977011
"C#",0.202873563218391
"PHP",0.183620689655172
"Python",0.122701149425287
"JavaScript",0.0560344827586207
"Ruby",0.053448275862069
"Go",0.0347701149425287
"TypeScript",0.025
"Scala",0.0227011494252874
"C++",0.0175287356321839
"Kotlin",0.00632183908045977
"1C",0.00488505747126437
"Elixir",0.00459770114942529
"Apex",0.00402298850574713
"PL-SQL",0.00402298850574713
"Clojure",0.00258620689655172
"T-SQL",0.00258620689655172
"Erlang",0.00229885057471264
"Groovy",0.00229885057471264
"(Other)",0.0137931034482759
