"Timestamp","Якою мовою ви написали свою першу програму ?","Чи можете виділити одну мову програмування, якою ви користуєтеся найчастіше?","Якою мовою ви пишете для роботи зараз?","Frontend: які фреймворки використовуєте в роботі?","Frontend: які фреймворки використовуєте в роботі?  ","Backend: які фреймворки використовуєте в роботі?","Backend: які фреймворки використовуєте в роботі?","Mobile: які фреймворки використовуєте в роботі?","Mobile: які фреймворки використовуєте в роботі?"," Інші фреймворки/бібліотеки","Улюблене IDE","Web: які фреймворки використовуєте в роботі?","Web: які фреймворки використовуєте в роботі?","Фреймворки для Distributed computing","Distributed computing: інші фреймворки","Інші","Версія JVM","Улюблене IDE","Найважливі бібліотеки та фреймворки, котрі ви використовуєте (через кому)","Улюблене IDE","Web: які фреймворки використовуєте в роботі?","Web: які фреймворки використовуєте в роботі?","Обробка даних: які фреймворки використовуєте в роботі?","Чи використовуєте ви mypy?","Бібліотеки загального призначення","Улюблене IDE","Які відомі веб-фреймворки ви використовуєте?","Інші важливі бібліотеки, які використовуєте в роботі","Яку версію PHP  ви використовуєте ?","Улюблене  IDE","Якими мовами ви пишете для роботи зараз?","Які додаткові мови ви використовуєте для роботи?","Яку мову програмування ви б обрали зараз для наступного комерційного проєкту?","Чи є у вас проєкти з відкритим кодом?  Якщо є, то якими мовами?","Чи плануєте ви цього року вивчити ще одну мову програмування?","Якщо так, то що за мова це буде? ","Ви плануєте освоїти наступну мову","Ви працюєте здебільшого в царині:","Ваша платформа?","Скільки років ви працюєте в індустрії розробки ПЗ?","Скільки років ви працюєте з мовою, що вибрана вами в якості основної? ","Скільки вам років?","Ви живете зараз в Україні?","Чи брали ви участь у наших попередніх опитуваннях на цю ж тему?"
"2021/01/04 10:05:00 AM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","Spring","","Kafka","","","8.x","IDEA","","","","","","","","","","","","","","Java","Java","","Ні","","","Бекенд програмування","","4","4","25","Так","Не пам'ятаю"
"2021/01/04 10:05:26 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","",".NET Core","Visual Studio","","","","","","","","","","","","C#;PL-SQL","C#","C#","Ні","","Самостійно","Бекенд програмування","","7","7","30","Так","Так"
"2021/01/04 10:05:30 AM GMT+2","Basic","Так","Kotlin","","","","","","","","","","","","","","","","RxJava, Coroutines, Android SDK","Intellij Idea","","","","","","","","","","","","Java;Groovy","Kotlin","Java;Kotlin;Monkey C","Так","Rust","Самостійно","Мобільна розробка","Android","6","3","30","Так","Так"
"2021/01/04 10:06:07 AM GMT+2","Pascal/Delphi","Так","Java","","","","","","","","","Spring","","","","Hibernate","8.x","Intellij IDEA","","","","","","","","","","","","","","JavaScript;TypeScript;T-SQL;PL-SQL","Java","","Ні","","","Бекенд програмування","","3","3","23","Так","Не пам'ятаю"
"2021/01/04 10:07:01 AM GMT+2","C#","Так","PHP","","","","","","","","","","","","","","","","","","","","","","","","Symfony","","7.x","PHPStorm, VSCode","","JavaScript;Python","PHP","Python;PHP;Ruby","Так","Go","Самостійно","Бекенд програмування","","6","6","31","Так","Так"
"2021/01/04 10:07:03 AM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","","pytest","","Ні","requests","PyCharm","","","","","","","JavaScript","","Так","JavaScript","Самостійно","Веб-фронтенд","","5","5","29","Так","Так"
"2021/01/04 10:07:50 AM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","Flask","","pandas","Ні","Selenium, gsheet, requests","PyCharm","","","","","","","Python","","Так","C","Самостійно","Бекенд програмування","","0.2","1","26","Так","Ні"
"2021/01/04 10:08:22 AM GMT+2","C#","Так","Ruby","","","","","","","","","","","","","","","","Rails","VSCode","","","","","","","","","","","","JavaScript","Ruby","","Ні","","","Бекенд програмування","","2","2","21","Так","Не пам'ятаю"
"2021/01/04 10:08:34 AM GMT+2","Pascal/Delphi","Так","C++","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lua ","Swift","","Так","Swift","Самостійно","","","4","4","29","Так","Не пам'ятаю"
"2021/01/04 10:08:44 AM GMT+2","Python","Так","Python","","","","","","","","","","","","","","","","","","Django","","","Ні","","PyCharm","","","","","","","Java","","Так","Java","За допомогою професійних викладачів (курсів або індивідуальних занять)","DevOps","","","","29","Так",""
"2021/01/04 10:08:48 AM GMT+2","C#","Так","JavaScript","Angular;React","","Express;NestJS;Koa","","React Native","","","","","","","","","","","","","","","","","","","","","","","","JavaScript;TypeScript;T-SQL","Go","","Так","C++","Самостійно","Веб-фронтенд","","3","2","21","Так","Ні"
"2021/01/04 10:08:51 AM GMT+2","Pascal/Delphi","Так","C#","","","","","","","","","","","","","","","","ASP.NET CORE, EF CORE, xUnit, Moq","Visual Studio","","","","","","","","","","","","JavaScript","C#","","Так","TypeScript","Самостійно","Бекенд програмування","","6","6","28","Так","Так"
"2021/01/04 10:08:53 AM GMT+2","C++","Так","JavaScript","Angular","","Express","","Electron;Ionic","","","WebStorm","","","","","","","","","","","","","","","","","","","","","TypeScript","JavaScript","","Так","Dart","Самостійно","Веб-фронтенд","","2","2","26","Так","Так"
"2021/01/04 10:09:30 AM GMT+2","JavaScript","Так","JavaScript","React","","Express","","React Native","","","VS Code","","","","","","","","","","","","","","","","","","","","","TypeScript","TypeScript","","Ні","","","Веб-фронтенд","","5","5","32","Так","Ні"
