"","x"
"Cats",0.162162162162162
"Akka",0.158783783783784
"Spark",0.0912162162162162
"Play",0.0574324324324324
"Zio",0.0574324324324324
"Doobie",0.0472972972972973
"Http4s",0.0439189189189189
"Slick",0.0439189189189189
"Apache Spark",0.0337837837837838
"Fs2",0.0337837837837838
"Circe",0.027027027027027
"Cats-Effect",0.0236486486486486
"Akka Http",0.0168918918918919
"Scalatest",0.0135135135135135
"Spring",0.0135135135135135
"",0.0101351351351351
"Monix",0.0101351351351351
"Akka Streams",0.00675675675675676
"Aws",0.00675675675675676
"Distage",0.00675675675675676
"Flink",0.00675675675675676
"Grpc",0.00675675675675676
"Monocle",0.00675675675675676
"Sbt",0.00675675675675676
"Shapeless",0.00675675675675676
"Tapir",0.00675675675675676
