"","x"
"JavaScript",0.280540361345931
"TypeScript",0.171224929554119
"Python",0.0929056853969833
"X/SQL",0.0901707276645119
"Java",0.0642300679595558
"PHP",0.0439250787336317
"C#",0.0388695508039118
"Go",0.0331510028178352
"Kotlin",0.02817835239516
"C++",0.0259406597049561
"Groovy",0.0223769269020388
"C",0.0193933366484336
"Objective-C",0.0175700314934527
"Swift",0.0137576661694016
"Scala",0.010856953422841
"Ruby",0.00986242333830598
"Dart",0.00969666832421681
"Rust",0.00472401790154152
"R",0.00331510028178352
"Perl",0.00314934526769435
