"","x"
"Go",0.221351616062684
"Python",0.15605615409729
"TypeScript",0.0999020568070519
"Rust",0.088801828272935
"JavaScript",0.088801828272935
"Dart",0.0558276199804114
"Kotlin",0.0430950048971596
"Swift",0.039503754489063
"Java",0.039177277179236
"C#",0.039177277179236
"Scala",0.0339536402220046
"C++",0.0257917074763304
"Clojure",0.010120796604636
"Elixir",0.00914136467515508
"Ruby",0.00914136467515508
"Haskell",0.00881488736532811
"PHP",0.00816193274567418
"C",0.00652954619653934
"R",0.00457068233757754
"Groovy",0.0039177277179236
