"","x"
"TypeScript",0.154347281383112
"C#",0.143698321222751
"JavaScript",0.122776246554748
"Java",0.115635179153094
"Python",0.105111500876973
"Go",0.0701578551741418
"PHP",0.0701578551741418
"Kotlin",0.0487346529691807
"Swift",0.0354547732397895
"C++",0.0278125783011776
"Ruby",0.0172889000250564
"Dart",0.0167877724880982
"Rust",0.0162866449511401
"Важко сказати, не знаю",0.016036081182661
"Scala",0.0146579804560261
"C",0.00626409421197695
"Salesforce Apex",0.00476071160110248
"Elixir",0.00388373841142571
"Clojure",0.00313204710598847
"1С",0.00250563768479078
