"","JavaScript","C#","Java","Python","PHP","TypeScript","Kotlin","Swift","C++","Go","Ruby","Dart","C","Scala","1С","Salesforce Apex","Groovy","Objective-C","Rust","Clojure"
"2013-01",0.054757015742642,0.214236824093087,0.246064339493498,0.066735112936345,0.152977412731006,0,0,0,0.0865845311430527,0,0.0314852840520192,0,0.0188227241615332,0.00684462696783025,0,0,0.00410677618069815,0.039356605065024,0,0
"2014-01",0.0751300327489886,0.18705451743402,0.24985551916779,0.0622230784049316,0.142554421113466,0,0,0,0.0890001926411096,0.000577923328838374,0.0375650163744943,0,0.0163744943170873,0.00905413215180119,0,0,0.00173376998651512,0.048930841841649,0,0.000770564438451166
"2015-01",0.110554628083843,0.167130402522723,0.251530328324986,0.0704878501205713,0.143943609719904,0,0,0.0029679094787609,0.0691893897236134,0.00204043776664812,0.0434056761268781,0,0.0146540530513819,0.00908922277870525,0,0,0.00148395473938045,0.0385828232238917,0,0.000927471712112781
"2016-01",0.138792631770928,0.154295093926682,0.262447565201532,0.0797008936713478,0.131679737370053,0,0,0.00875433157030822,0.0643808134233084,0.00255334670800657,0.0357468539120919,0,0.0131314973554623,0.010395768739741,0,0,0.00164143716943279,0.0319168338500821,0,0.00164143716943279
"2017-01",0.162049008742766,0.148996429011206,0.232976234453885,0.0869351065139761,0.132126585395887,0.00197020071419776,0.0018470631695604,0.0222878955793621,0.0547962073636252,0.00812707794606576,0.0353404753109223,0,0.0110823790173624,0.0151459179903953,0,0,0.00073882526782416,0.018470631695604,0.0006156877231868,0.00147765053564832
"2018-01",0.165268941584731,0.140977443609023,0.206622325043378,0.0975997686524002,0.130422209369578,0.0200983227299017,0.0092539039907461,0.0339791787160208,0.0495951417004049,0.0202429149797571,0.0296414112203586,0,0.0138808559861191,0.0154713707345286,0,0,0.00159051474840949,0.0105552342394448,0.000722961249277039,0.00289184499710815
"2019-01",0.176891006551519,0.13972602739726,0.178320428826683,0.108874329958309,0.119475878499107,0.0291840381179273,0.0238237045860631,0.0289458010720667,0.0653960690887433,0.0182251340083383,0.0287075640262061,0.000714711137581894,0.0156045265038714,0.015485407980941,0,0,0.00321620011911852,0.00405002977963073,0.000952948183442525,0.00119118522930316
"2020-01",0.183588002263724,0.137068477645727,0.153933220147142,0.131635540464063,0.108432371250707,0.0444821731748727,0.0272778720996038,0.0276174306734578,0.0584040747028862,0.0184493491794001,0.0238822863610639,0.00577249575551783,0.0150537634408602,0.0109790605546123,0,0,0.00203735144312394,0.00181097906055461,0.00147142048670062,0.00192416525183928
"2021-01",0.181118986578193,0.143115668828231,0.147489066505806,0.121248680440356,0.101342180666566,0.0692203287588599,0.0262403860654502,0.0307645905594933,0.0459960790227718,0.0199064997737898,0.0298597496606847,0.00829437490574574,0.0119137385009802,0.0174935907103001,0,0,0.00196048861408536,0,0.00165887498114915,0.00180968179761725
"2022-01",0.187999060591827,0.147017379051198,0.142672616251761,0.112259276655707,0.105565993424143,0.103687177078441,0.0338186942226397,0.0334664161578206,0.0328792860497886,0.0219586660403946,0.0212541099107562,0.0100986378581494,0.00951150775011743,0.00939408172851104,0.00728041333959605,0.00634100516674495,0.00305307656176609,0.00211366838891498,0.0019962423673086,0.00140911225927666
