"","x"
"Немає",0.464183087027915
"JavaScript",0.111761083743842
"Python",0.0623973727422003
"TypeScript",0.0600369458128079
"Java",0.0567528735632184
"C#",0.0466954022988506
"PHP",0.0402298850574713
"C++",0.0306855500821018
"Go",0.0207307060755337
"C",0.0173440065681445
"Kotlin",0.0172413793103448
"Swift",0.0145730706075534
"Ruby",0.0106732348111658
"X/SQL",0.0083128078817734
"Dart",0.00779967159277504
"Rust",0.00646551724137931
"Scala",0.00523399014778325
"Objective-C",0.00348932676518883
"1С",0.00307881773399015
"Perl",0.00194991789819376
