language,freq2018,freq2019,freq2020,freq2021,freq2022
JavaScript,0.11568123393316196,0.13165112452002195,0.19202518363064008,0.2264591439688716,0.2150814053127678
Python,0.07069408740359898,0.08886450905101481,0.0944386149003148,0.07704280155642024,0.15167095115681234
C++,0.18444730077120822,0.19857377948436644,0.16998950682056663,0.13929961089494164,0.13110539845758354
Java,0.12275064267352186,0.117937465715853,0.09758656873032528,0.11284046692607004,0.11225364181662383
Pascal,0.003213367609254499,0.0032912781130005485,0.0,0.1642023346303502,0.1062553556126821
C,0.09125964010282776,0.0981897970378497,0.10073452256033578,0.08171206225680934,0.07540702656383891
C# / .NET,0.0,0.0,0.0,0.053696498054474705,0.06598114824335904
PHP,0.036632390745501286,0.026878771256171146,0.023084994753410283,0.034241245136186774,0.033419023136246784
Basic,0.04884318766066838,0.0405924300603401,0.033578174186778595,0.04357976653696498,0.031705227077977724
Delphi,0.0,0.0005485463521667581,0.0,0.019455252918287938,0.013710368466152529
