language,freq2013,freq2014,freq2015,freq2016,freq2017,freq2018,freq2019,freq2020,freq2021,freq2022
JavaScript,0.07448433919022154,0.10969998159396283,0.1378373483064662,0.160880195599022,0.16403559127439724,0.17549042779484755,0.1822062457874635,0.17944120723143583,0.18534382959018292,0.19098591549295774
Java,0.24770817417876242,0.2495858641634456,0.2606411881905452,0.2312958435207824,0.20508036739380023,0.17690853226187664,0.15277465738036397,0.14612281488121917,0.14065755962028248,0.13983098591549295
Python,0.06168831168831169,0.06994294128474139,0.07915232747690636,0.0863080684596577,0.09687141216991964,0.10801229023871425,0.13064479892159064,0.1201255042581802,0.11067376707571197,0.13408450704225353
C#,0.18544690603514133,0.16583839499355787,0.15323310994385075,0.14792176039119803,0.13992537313432835,0.1386197116520917,0.13603684565266233,0.14178992977737936,0.14494095855522113,0.1328450704225352
TypeScript,0.00019098548510313216,0.00018406037180195104,0.0003622532149972831,0.0019559902200488996,0.01994833524684271,0.028952966201843535,0.044147382610649294,0.06857911250560286,0.10222273674461681,0.1328450704225352
PHP,0.1413292589763178,0.142830848518314,0.1307734106140192,0.13117359413202934,0.12944890929965558,0.11852989836917986,0.10761626600763874,0.1004034065441506,0.10407501736513082,0.07064788732394366
Kotlin,0.0,0.0,0.00018112660749864155,0.0018337408312958435,0.009184845005740528,0.02363507445048452,0.027072567962255673,0.025997310623038995,0.033341051169252144,0.032225352112676055
C++,0.08823529411764706,0.06865451868212774,0.06393769244702047,0.054156479217603914,0.049225028702640644,0.06487827936658,0.057964502359020446,0.0454205886747348,0.03241491085899514,0.02828169014084507
DB,0.006875477463712758,0.005705871525860482,0.007245064299945662,0.008312958435207823,0.007893226176808266,0.006263294729378398,0.005504381037968996,0.008964589870013447,0.014007872192637185,0.026704225352112677
Swift,0.0,0.0029449659488312166,0.008694077159934794,0.02212713936430318,0.0337256027554535,0.028716615457338692,0.027409570882947654,0.03047960555804572,0.032993748552905766,0.024901408450704224
Go,0.0005729564553093965,0.0020246640898214613,0.002535772504980982,0.00806845965770171,0.020091848450057407,0.018080831954620655,0.01831049202426421,0.019722097714029583,0.021648529752257468,0.018591549295774647
Ruby,0.03724216959511077,0.04307012700165654,0.035500815069733745,0.03508557457212714,0.02942020665901263,0.028480264712833846,0.02370253875533588,0.029583146571044376,0.020953924519564713,0.01780281690140845
Dart,0.0,0.00018406037180195104,0.0,0.0,0.0,0.0007090522335145356,0.005729049651763648,0.008217540714178993,0.009956008335262792,0.010816901408450704
Scala,0.008976317799847212,0.009018958218295601,0.010324216627422568,0.015036674816625916,0.015355912743972445,0.015362798392814937,0.010896427769040665,0.01733154041535933,0.009261403102570039,0.008225352112676056
Apex,0.0005729564553093965,0.0009203018590097553,0.0010867596449918493,0.001466992665036675,0.0018656716417910447,0.0028362089340581422,0.0033700292069197934,0.00388465561033916,0.0062514470942347765,0.006647887323943662
C,0.016233766233766232,0.014540769372354132,0.013041115739902192,0.011002444987775062,0.013777267508610792,0.01548097376506736,0.014940462817344418,0.011803376662184372,0.009377170641352165,0.006535211267605634
1C,0.008594346829640947,0.01085956193631511,0.012316609309907625,0.012591687041564792,0.011194029850746268,0.008981328291184117,0.016513143113906985,0.00941281936351412,0.00717758740449178,0.00428169014084507
Groovy,0.0017188693659281895,0.0014724829744156083,0.001630139467487774,0.0007334963325183374,0.0015786452353616532,0.00319073505081541,0.002022017524151876,0.00194232780516958,0.003009956008335263,0.0033802816901408453
Rust,0.0,0.0,0.0003622532149972831,0.0006112469437652812,0.0007175660160734788,0.0009454029780193808,0.0014603459896652437,0.0016435081428357986,0.001968048159296133,0.0031549295774647886
Elixir,0.0,0.0,0.0,0.0004889975550122249,0.00043053960964408724,0.0007090522335145356,0.0005616715344866322,0.0025399671298371434,0.0012734429266033805,0.0016901408450704226
