language,freq2018,freq2019,freq2020,freq2021,freq2022
JavaScript,0.17549042779484755,0.1822062457874635,0.17944120723143583,0.18534382959018292,0.19098591549295774
Java,0.17690853226187664,0.15277465738036397,0.14612281488121917,0.14065755962028248,0.13983098591549295
Python,0.10801229023871425,0.13064479892159064,0.1201255042581802,0.11067376707571197,0.13408450704225353
C#,0.1386197116520917,0.13603684565266233,0.14178992977737936,0.14494095855522113,0.1328450704225352
TypeScript,0.028952966201843535,0.044147382610649294,0.06857911250560286,0.10222273674461681,0.1328450704225352
PHP,0.11852989836917986,0.10761626600763874,0.1004034065441506,0.10407501736513082,0.07064788732394366
Kotlin,0.02363507445048452,0.027072567962255673,0.025997310623038995,0.033341051169252144,0.032225352112676055
C++,0.06487827936658,0.057964502359020446,0.0454205886747348,0.03241491085899514,0.02828169014084507
DB,0.006263294729378398,0.005504381037968996,0.008964589870013447,0.014007872192637185,0.026704225352112677
Swift,0.028716615457338692,0.027409570882947654,0.03047960555804572,0.032993748552905766,0.024901408450704224
Go,0.018080831954620655,0.01831049202426421,0.019722097714029583,0.021648529752257468,0.018591549295774647
Ruby,0.028480264712833846,0.02370253875533588,0.029583146571044376,0.020953924519564713,0.01780281690140845
Dart,0.0007090522335145356,0.005729049651763648,0.008217540714178993,0.009956008335262792,0.010816901408450704
Scala,0.015362798392814937,0.010896427769040665,0.01733154041535933,0.009261403102570039,0.008225352112676056
Apex,0.0028362089340581422,0.0033700292069197934,0.00388465561033916,0.0062514470942347765,0.006647887323943662
C,0.01548097376506736,0.014940462817344418,0.011803376662184372,0.009377170641352165,0.006535211267605634
1C,0.008981328291184117,0.016513143113906985,0.00941281936351412,0.00717758740449178,0.00428169014084507
Groovy,0.00319073505081541,0.002022017524151876,0.00194232780516958,0.003009956008335263,0.0033802816901408453
Rust,0.0009454029780193808,0.0014603459896652437,0.0016435081428357986,0.001968048159296133,0.0031549295774647886
Elixir,0.0007090522335145356,0.0005616715344866322,0.0025399671298371434,0.0012734429266033805,0.0016901408450704226
