language,freq2021,freq2022
Java,0.29085062847120724,0.26969481902058196
C#,0.17597193802981584,0.18701206529453512
PHP,0.17714118678748902,0.14229950319375442
Python,0.12949429991230635,0.13236337828246983
TypeScript,0.033031277404267756,0.05429382540809084
Go,0.04355451622332651,0.047906316536550746
JavaScript,0.03010815551008477,0.047906316536550746
Ruby,0.036831335866705645,0.035131298793470545
C++,0.026600409237065185,0.027679205110007096
Scala,0.017246419175679626,0.015259048970901348
Kotlin,0.009061677871967261,0.01242015613910575
DB,0.008477053493130663,0.00674237047551455
Rust,0.002630809704764689,0.00603264726756565
Elixir,0.0017538731365097924,0.0035486160397444995
C,0.003215434083601286,0.0028388928317956
Erlang,0.00233849751534639,0.0017743080198722497
1C,0.0020461853259280912,0.0014194464158978
Apex,0.0020461853259280912,0.0014194464158978
Groovy,0.0020461853259280912,0.0010645848119233499
Clojure,0.0014615609470914938,0.0010645848119233499
