language,freq2021,freq2022
C#,0.27205493924986796,0.241400875547217
JavaScript,0.20549392498679345,0.2320200125078174
TypeScript,0.10089804543053355,0.15884928080050031
PHP,0.14791336502905442,0.12445278298936835
Java,0.08135235076597992,0.06879299562226392
Python,0.04490227152667723,0.04002501563477173
Apex,0.024300052826201797,0.031269543464665414
Ruby,0.028526148969889066,0.027517198248905566
C++,0.02694136291600634,0.0225140712945591
1C,0.025356576862123614,0.016260162601626018
Go,0.01162176439513999,0.0075046904315197
DB,0.004226096143687269,0.004377736085053158
Kotlin,0.0021130480718436345,0.004377736085053158
Pascal/Delphi,0.002641310089804543,0.00375234521575985
Elixir,0.0021130480718436345,0.0031269543464665416
Rust,0.0005282620179609086,0.0031269543464665416
C,0.004226096143687269,0.0025015634771732333
Scala,0.001584786053882726,0.001876172607879925
Dart,0.0021130480718436345,0.0012507817385866166
Groovy,0.003169572107765452,0.0012507817385866166
