language,freq2021,freq2022
Kotlin,0.31094527363184077,0.3459214501510574
Swift,0.34577114427860695,0.3081570996978852
Dart,0.09701492537313433,0.1268882175226586
C#,0.08582089552238806,0.10120845921450151
TypeScript,0.03980099502487562,0.04682779456193353
JavaScript,0.03731343283582089,0.03172205438066465
Java,0.048507462686567165,0.01661631419939577
C++,0.009950248756218905,0.012084592145015106
Objective-C,0.017412935323383085,0.004531722054380665
Python,0.0012437810945273632,0.004531722054380665
