language,cnt,freq
DB,3134,0.247884204698252
JavaScript,2914,0.23048327137546468
TypeScript,1602,0.12671043265047852
Python,1239,0.09799889266787946
Java,708,0.05599936723878826
C#,435,0.034406390888238554
PHP,386,0.030530728466345015
Go,331,0.026180495135648185
C++,265,0.02096021513881199
Groovy,242,0.019141026655066045
Kotlin,217,0.01716364786838567
C,176,0.01392074665822985
Swift,135,0.010677845448074033
Objective-C,117,0.009254132721664162
Ruby,111,0.008779561812860872
Dart,95,0.00751403938938543
Scala,81,0.00640670726884442
Rust,56,0.004429328482164044
R,41,0.0032429012101558175
1C,27,0.002135569089614807
