language,cnt,freq
DB,311,0.454014598540146
Python,154,0.22481751824817517
JavaScript,43,0.06277372262773723
R,31,0.04525547445255475
Java,23,0.033576642335766425
Scala,21,0.030656934306569343
C++,20,0.029197080291970802
C#,15,0.021897810218978103
C,11,0.016058394160583942
TypeScript,9,0.013138686131386862
PHP,8,0.01167883211678832
1C,5,0.0072992700729927005
Go,4,0.00583941605839416
Groovy,3,0.004379562043795621
Kotlin,3,0.004379562043795621
Pascal/Delphi,3,0.004379562043795621
Assembler,2,0.00291970802919708
Rust,2,0.00291970802919708
Ruby,2,0.00291970802919708
Dart,2,0.00291970802919708
