language,cnt,freq
JavaScript,647,0.38352104327208064
TypeScript,550,0.3260225251926497
PHP,118,0.06994665085951393
Python,81,0.048014226437462955
DB,75,0.04445761707172496
C#,55,0.03260225251926497
Java,35,0.02074688796680498
Dart,16,0.00948429164196799
Ruby,15,0.00889152341434499
Go,14,0.008298755186721992
Kotlin,13,0.007705986959098993
Swift,11,0.006520450503852994
Objective-C,9,0.005334914048606995
Rust,8,0.004742145820983995
C++,8,0.004742145820983995
C,6,0.0035566093657379964
Groovy,3,0.0017783046828689982
Elixir,3,0.0017783046828689982
Scala,2,0.0011855364552459987
Solidity,2,0.0011855364552459987
