language,cnt,freq
Java,219,0.25644028103044497
Kotlin,95,0.11124121779859485
Swift,93,0.10889929742388758
Objective-C,86,0.10070257611241218
DB,59,0.06908665105386416
JavaScript,59,0.06908665105386416
Dart,41,0.04800936768149883
Python,41,0.04800936768149883
TypeScript,37,0.04332552693208431
C++,35,0.040983606557377046
C#,20,0.0234192037470726
Groovy,20,0.0234192037470726
C,15,0.01756440281030445
Ruby,14,0.01639344262295082
Go,5,0.00585480093676815
Rust,4,0.00468384074941452
PHP,3,0.00351288056206089
XML,1,0.00117096018735363
Solidity,1,0.00117096018735363
Shell,1,0.00117096018735363
