language,freq2021,freq2022,freq2023
Pascal,0.23900529587842506,0.20747726507241496,0.19491312012087636
JavaScript,0.12180520377619157,0.14224767037161784,0.14505162427600102
C++,0.11892700897996776,0.12046704838890761,0.10853689247041047
Python,0.04547547778033617,0.07589536319748512,0.0953160412994208
Java,0.08289201013124568,0.10508588750421018,0.09418282548476455
Basic,0.11121344692608796,0.07746716066015494,0.07290355074288592
C# / .NET,0.05307391204236703,0.05961603233411923,0.06723747166960463
C,0.07736587612249597,0.06882227461547098,0.063963737093931
PHP,0.055376467879346074,0.047490737622094985,0.04872828003021909
Delphi,0.03396269859544094,0.03076232176939486,0.03248552002014606
