language,freq2021,freq2022,freq2023
JavaScript,0.2264591439688716,0.2150814053127678,0.2227784730913642
Python,0.07704280155642024,0.15167095115681234,0.1677096370463079
C++,0.13929961089494164,0.13110539845758354,0.1414267834793492
Pascal,0.1642023346303502,0.1062553556126821,0.11013767209011265
Java,0.11284046692607004,0.11225364181662383,0.07133917396745933
C# / .NET,0.053696498054474705,0.06598114824335904,0.06633291614518148
C,0.08171206225680934,0.07540702656383891,0.060075093867334166
PHP,0.034241245136186774,0.033419023136246784,0.03128911138923655
SQL,0.0015564202334630351,0.006855184233076264,0.02002503128911139
Basic,0.04357976653696498,0.031705227077977724,0.01877346683354193
