language,cnt,freq
Python,105,0.19301470588235295
C++,97,0.17830882352941177
C,51,0.09375
Go,47,0.08639705882352941
Rust,40,0.07352941176470588
TypeScript,38,0.06985294117647059
Java,34,0.0625
C#,33,0.06066176470588235
JavaScript,29,0.05330882352941176
DB,17,0.03125
Kotlin,16,0.029411764705882353
Scala,6,0.011029411764705883
Swift,4,0.007352941176470588
Dart,4,0.007352941176470588
Ruby,4,0.007352941176470588
Haskell,3,0.0055147058823529415
PHP,3,0.0055147058823529415
Assembler,2,0.003676470588235294
Elixir,2,0.003676470588235294
Lua,1,0.001838235294117647
