language,cnt,freq
TypeScript,545,0.25526932084309134
C#,317,0.1484777517564403
JavaScript,311,0.14566744730679157
DB,167,0.07822014051522248
Python,159,0.07447306791569086
Go,130,0.06088992974238876
PHP,121,0.05667447306791569
Java,106,0.04964871194379391
Rust,48,0.022482435597189696
Ruby,40,0.01873536299765808
C++,40,0.01873536299765808
Kotlin,35,0.01639344262295082
Apex,29,0.013583138173302109
Dart,24,0.011241217798594848
Swift,18,0.008430913348946136
Elixir,7,0.003278688524590164
C,6,0.002810304449648712
Scala,5,0.00234192037470726
1C,4,0.001873536299765808
Clojure,4,0.001873536299765808
