language,freq2021,freq2022,freq2023
Python,0.7342657342657343,0.732,0.6868686868686869
Go,0.06993006993006994,0.044,0.07323232323232323
Bash,0.0,0.0,0.04292929292929293
Groovy,0.06993006993006994,0.048,0.03282828282828283
JavaScript,0.02097902097902098,0.016,0.025252525252525252
Terraform HCL,0.0,0.0,0.022727272727272728
TypeScript,0.027972027972027972,0.02,0.020202020202020204
C#,0.04195804195804196,0.024,0.015151515151515152
DB,0.013986013986013986,0.02,0.012626262626262626
PHP,0.0,0.012,0.010101010101010102
