language,cnt,freq
JavaScript,570,0.289193302891933
DB,516,0.2617960426179604
Python,239,0.12125824454591577
TypeScript,220,0.11161846778285134
Go,98,0.04972095383054287
Java,64,0.032470826991374935
PHP,40,0.020294266869609334
Groovy,37,0.018772196854388634
Kotlin,36,0.0182648401826484
C#,22,0.011161846778285134
Scala,17,0.008625063419583967
C++,16,0.008117706747843734
Rust,15,0.0076103500761035
Ruby,9,0.0045662100456621
C,8,0.004058853373921867
Perl,6,0.0030441400304414
Elixir,6,0.0030441400304414
Pascal/Delphi,5,0.0025367833587011668
F#,5,0.0025367833587011668
Bash,4,0.0020294266869609334
