language,cnt,freq
Python,36,0.21951219512195122
DB,26,0.15853658536585366
C++,17,0.10365853658536585
C#,15,0.09146341463414634
Objective-C,14,0.08536585365853659
JavaScript,14,0.08536585365853659
C,12,0.07317073170731707
Java,9,0.054878048780487805
TypeScript,4,0.024390243902439025
Assembler,3,0.018292682926829267
Dart,2,0.012195121951219513
Ruby,2,0.012195121951219513
Pascal/Delphi,2,0.012195121951219513
Lua,1,0.006097560975609756
Scala,1,0.006097560975609756
Go,1,0.006097560975609756
Latex,1,0.006097560975609756
Swift,1,0.006097560975609756
Kotlin,1,0.006097560975609756
PHP,1,0.006097560975609756
