language,cnt,freq
JavaScript,452,0.32193732193732194
DB,277,0.1972934472934473
TypeScript,273,0.19444444444444445
Python,108,0.07692307692307693
PHP,68,0.04843304843304843
Java,46,0.03276353276353276
C#,45,0.03205128205128205
Go,32,0.022792022792022793
C++,17,0.012108262108262107
Ruby,15,0.010683760683760684
Kotlin,12,0.008547008547008548
Dart,8,0.005698005698005698
C,7,0.004985754985754986
Rust,5,0.0035612535612535613
Swift,5,0.0035612535612535613
Scala,4,0.002849002849002849
Objective-C,4,0.002849002849002849
Solidity,3,0.002136752136752137
Groovy,3,0.002136752136752137
Elixir,3,0.002136752136752137
