language,cnt,freq,diff,cnt_additional,cnt_open_source,si
TypeScript,1275,17.09,2.0,800,112,81.8
Python,1271,17.04,2.33,888,143,69.9
JavaScript,1000,13.4,-1.96,1617,128,51.2
C#,888,11.9,-0.79,193,67,80.6
Java,883,11.83,-0.89,361,54,67.2
PHP,505,6.77,-0.22,222,54,61.1
DB,293,3.93,0.77,1208,11,27.4
Kotlin,235,3.15,-0.31,133,18,87.3
C++,217,2.91,-0.24,165,51,72.4
Go,162,2.17,,250,54,84.3
Swift,158,2.12,-0.18,70,26,80.8
Ruby,107,1.43,-0.52,86,11,57.9
Dart,87,1.17,,47,14,79.0
C,75,1.01,0.31,78,23,64.8
1C,47,,0.12,8,2,39.0
Scala,40,,,39,7,40.5
Groovy,38,,0.18,116,1,13.8
Apex,29,,-0.16,4,,42.1
Rust,19,,-0.21,49,18,88.2
Pascal/Delphi,11,,,14,2,45.5
Bash,10,,,23,2,10.0
Elixir,9,,,9,5,88.9
ABAP,9,,,,,33.3
Solidity,7,,,7,5,0.0
Clojure,6,,,,4,83.3
Other,6,,,24,3,0.0
Powershell,6,,,,,0.0
R,5,,,16,,50.0
Lua,4,,,8,3,25.0
PowerShell,4,,,3,1,0.0
