language,cnt,freq
Go,375,0.2313386798272671
Python,337,0.20789636027143737
Rust,193,0.11906230721776681
TypeScript,123,0.07587908698334361
JavaScript,95,0.05860579888957434
C#,61,0.03763109191856878
C++,60,0.03701418877236274
Java,59,0.03639728562615669
Kotlin,56,0.03454657618753856
Swift,54,0.033312769895126465
Dart,34,0.020974706971005553
DB,28,0.01727328809376928
Scala,20,0.012338062924120914
PHP,17,0.010487353485502776
Ruby,12,0.007402837754472548
C,11,0.006785934608266502
Haskell,11,0.006785934608266502
Zig,11,0.006785934608266502
