language,cnt,freq
Python,214,0.622093023255814
DB,28,0.08139534883720931
Scala,18,0.05232558139534884
Go,17,0.04941860465116279
Rust,15,0.0436046511627907
C++,15,0.0436046511627907
Java,12,0.03488372093023256
C#,5,0.014534883720930232
R,4,0.011627906976744186
JavaScript,3,0.00872093023255814
Dart,2,0.005813953488372093
Haskell,2,0.005813953488372093
C,1,0.0029069767441860465
TypeScript,1,0.0029069767441860465
M,1,0.0029069767441860465
Swift,1,0.0029069767441860465
Kotlin,1,0.0029069767441860465
Mojo,1,0.0029069767441860465
Perl,1,0.0029069767441860465
