language,cnt,freq
TypeScript,1315,0.2093615666295176
C#,732,0.11654195191848432
JavaScript,687,0.10937748766120045
Python,643,0.10237223372074511
Java,543,0.08645120203789206
Go,527,0.08390383696863557
PHP,312,0.04967361885050151
Kotlin,300,0.04776309504855915
C++,216,0.034389428434962586
Rust,194,0.030886801464734916
DB,187,0.0297723292469352
Swift,180,0.028657857029135488
Dart,108,0.017194714217481293
Ruby,70,0.011144722177997134
C,66,0.010507880910683012
Scala,39,0.006209202356312689
Elixir,26,0.004139468237541793
1C,20,0.0031842063365706097
не знаю,18,0.0028657857029135486
