language,freq2021,freq2022,freq2023,freq2024
Kotlin,0.31094527363184077,0.3459214501510574,0.37360890302066774,0.38054968287526425
Swift,0.34577114427860695,0.3081570996978852,0.27344992050874406,0.2959830866807611
Dart,0.09701492537313433,0.1268882175226586,0.13036565977742448,0.15644820295983086
TypeScript,0.03980099502487562,0.04682779456193353,0.06518282988871224,0.06342494714587738
JavaScript,0.03731343283582089,0.03172205438066465,0.012718600953895072,0.046511627906976744
C#,0.08582089552238806,0.10120845921450151,0.11764705882352941,0.03171247357293869
C++,0.009950248756218905,0.012084592145015106,0.006359300476947536,0.006342494714587738
Java,0.048507462686567165,0.01661631419939577,0.00794912559618442,0.006342494714587738
Objective-C,0.017412935323383085,0.004531722054380665,0.00794912559618442,0.004228329809725159
Pascal/Delphi,0.0,0.0015105740181268882,0.0,0.0021141649048625794
