language,freq2021,freq2022,freq2023,freq2024
C#,0.27890556045895853,0.2482078853046595,0.226447709593777,0.1854251012145749
Python,0.07678729037952339,0.13530465949820789,0.14347450302506481,0.1748987854251012
TypeScript,0.06619593998234775,0.08333333333333333,0.10458081244598098,0.12550607287449392
JavaScript,0.14651368049426303,0.15232974910394265,0.10198789974070872,0.11012145748987855
C++,0.14210061782877317,0.12992831541218638,0.14174589455488332,0.1076923076923077
Java,0.07502206531332745,0.07347670250896057,0.07433016421780467,0.07530364372469636
DB,0.03089143865842895,0.03763440860215054,0.05012964563526361,0.0680161943319838
1C,0.04324801412180053,0.02956989247311828,0.03111495246326707,0.03319838056680162
PHP,0.04148278905560459,0.025985663082437275,0.021607605877268798,0.024291497975708502
Go,0.018534863195057368,0.00985663082437276,0.011235955056179775,0.015384615384615385
