language,cnt,freq
Python,143,0.16963226571767498
JavaScript,128,0.15183867141162516
TypeScript,112,0.132858837485172
C#,67,0.07947805456702253
Java,54,0.06405693950177936
PHP,54,0.06405693950177936
Go,54,0.06405693950177936
C++,51,0.060498220640569395
Swift,26,0.03084223013048636
C,23,0.027283511269276393
Rust,18,0.021352313167259787
Kotlin,18,0.021352313167259787
Dart,14,0.0166073546856465
DB,11,0.013048635824436536
Ruby,11,0.013048635824436536
Scala,7,0.00830367734282325
Solidity,5,0.005931198102016607
Elixir,5,0.005931198102016607
Clojure,4,0.004744958481613286
