language,cnt,freq
JavaScript,172,0.16522574447646493
Python,167,0.16042267050912584
TypeScript,146,0.14024975984630164
C#,91,0.08741594620557157
Java,70,0.06724303554274735
Go,58,0.05571565802113353
C++,51,0.04899135446685879
PHP,50,0.04803073967339097
Kotlin,42,0.040345821325648415
DB,29,0.027857829010566763
Swift,28,0.026897214217098942
Rust,24,0.023054755043227664
C,22,0.021133525456292025
Ruby,18,0.01729106628242075
Dart,12,0.011527377521613832
Pascal/Delphi,6,0.005763688760806916
Elixir,5,0.004803073967339097
Clojure,5,0.004803073967339097
Haskell,4,0.0038424591738712775
