Submission ID,Respondent ID,Submitted at,Ваша основна зайнятість в ІТ зараз...,Оберіть ваш тайтл або роль у компанії,Categories,Position,Розробники -  основна спеціалізація,Якою мовою ви написали свою першу програму?,Основна мова програмування,"Скільки років ви працюєте з мовою, яку обрали як основну?","Чи використовуєте ви інші мови програмування, крім основної?","Оберіть інші мови програмування, які також використовуєте на поточній посаді",Які мови програмування ви б обрали зараз для наступного комерційного проєкту?,Чи комітили ви у 2024 році в опенсорс проєкти?,Якими мовами програмування ви комітили в опенсорс проєкти у 2024 році?,Чи є у вас власні опенсорс проєкти?,Якими мовами написаний ваш опенсорс проєкт?,Чи плануєте ви наступного року вивчити ще одну мову програмування?,Яку мову програмування ви плануєте вивчити наступного року?,"Основні фреймворки, бібліотеки та платформи: розробка","Основні фреймворки, бібліотеки та платформи: QA","Основні фреймворки, бібліотеки та платформи: Робота з даними",Ви плануєте освоїти наступну мову,"Платформи, для яких розробляєте на поточному місці роботи","Оберіть напрям, у якому зараз працюєте",Загальний стаж роботи за нинішньою ІТ-спеціальністю,Загальний стаж роботи в ІТ,,,,,,,,,,,,,,,,,,,,,,,
WaaXXe,bveJ07,2024-11-22 11:03:12,Працюю full-time,Middle,QA,Manual QA,,C# / .NET,TypeScript,Пів року,Ні,,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"Cypress, Playwright",,,Mobile cross-platform,web app,2,2,,,,,,,,,,,,,,,,,,,,,,,
o88YLO,YkG6DN,2024-11-22 11:04:12,Працюю full-time,Head,QA,Head of QA,,Basic,TypeScript,3 роки,Так,Python,TypeScript,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"Cypress, Postman, Playwright, PyTest, JSON",,,Mobile cross-platform,Web+mobile flutter,10,13,,,,,,,,,,,,,,,,,,,,,,,
4ll0RO,dv0OYK,2024-11-22 11:21:21,Працюю full-time,Lead/Team Lead,QA,Automation QA / AQA,,TypeScript,C# / .NET,4 роки,Так,,,Ні,,Немає,,"Ні, наразі не маю таких планів",,,Playwright,,,Web,web app,10,10,,,,,,,,,,,,,,,,,,,,,,,
j8Ae9Y,pvDeQq,2024-11-22 13:20:11,Працюю full-time,Head,QA,Head of QA,,Python,Python,2 роки,Так,C# / .NET,C# / .NET,Так,Python,Є,"Python, JavaScript","Ні, наразі не маю таких планів",,,"Playwright, Selenium, Postman, JSON, NUnit",,,Web,web app,15,15,,,,,,,,,,,,,,,,,,,,,,,
r8Mor5,LkPK9y,2024-11-22 13:47:13,Працюю full-time,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,JavaScript,TypeScript,4 роки,Ні,,TypeScript,Так,TypeScript,Немає,,Так,Python,Angular / Angular.js,,,Самостійно,Web,,4,4,,,,,,,,,,,,,,,,,,,,,,,
dJevJA,ZD2zAA,2024-11-22 16:04:58,Працюю full-time,Tech Lead,SE,Software Engineer / Software Developer,Back-end  розробка,C,PHP,10 і більше років,Так,JavaScript,PHP,Ні,,Немає,,"Ні, наразі не маю таких планів",,Magento,,,,Web,,12,12,,,,,,,,,,,,,,,,,,,,,,,
29G76p,5MZGav,2024-11-22 16:06:29,Втратив(-ла) роботу і шукаю нову,Senior,QA,General QA,,Java,Java,1 рік,Ні,,Java,Ні,,Немає,,"Ні, наразі не маю таких планів",,,"Selenide/NSelen/Selen, Selenium",,,Web,web app,11,15,,,,,,,,,,,,,,,,,,,,,,,
AMeyRk,RkDJQv,2024-11-22 16:06:40,Працюю full-time,Senior,QA,Automation QA / AQA,,C,Java,6 років,Так,Python,Python,Ні,,Немає,,"Ні, наразі не маю таких планів",,,Cucumber,,,Web,"web app,web api",8,8,,,,,,,,,,,,,,,,,,,,,,,
y85za0,B0xQJ4,2024-11-22 16:07:22,Працюю full-time,Senior,Other,Product Designer,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,
AMeyoo,RkDJOK,2024-11-22 16:07:27,Працюю full-time,Middle,QA,Manual QA,,,,,,,,,,,,,,,,,,,web app,3,3,,,,,,,,,,,,,,,,,,,,,,,
z85L91,xvJP8E,2024-11-22 16:07:34,Працюю full-time,Немає тайтлу,Other,Lead Generation Specialist,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,
X6PQle,Ok7JRa,2024-11-22 16:07:46,Працюю full-time,Junior,QA,General QA,,,,,,,,,,,,,,,,,,,embedded (electronics/automotive etc),1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
L4LOZJ,bvW8a1,2024-11-22 16:07:47,Працюю full-time,CEO / C-level (Chief) / Director / VP,Other,Director of Engineering,,,,,,,,,,,,,,,,,,,,10,15,,,,,,,,,,,,,,,,,,,,,,,
WaV1LP,vKPO54,2024-11-22 16:07:48,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Java,6 років,Так,Python,Java,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Hibernate,Spring,Vue.js,Ruby on Rails",,,,Web,,6,6,,,,,,,,,,,,,,,,,,,,,,,
N21dGb,xvJPqd,2024-11-22 16:07:51,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Python,JavaScript,5 років,Так,JavaScript,Python,Ні,,Немає,,Так,Go,Flask,,,Самостійно,Web,,5,5,,,,,,,,,,,,,,,,,,,,,,,
Rqyk9l,gv978M,2024-11-22 16:07:54,Працюю full-time,Junior,SE,Software Engineer / Software Developer,Desktop,C++,C# / .NET,"1,5 року",Так,Assembler,JavaScript,Ні,,Немає,,Так,JavaScript,,,,Самостійно,,,2,4,,,,,,,,,,,,,,,,,,,,,,,
x85zMd,gv97R4,2024-11-22 16:08:02,Працюю full-time,Senior,Product Management,Product Owner (у продакт менеджменті),,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,
dJezEr,EMxJyB,2024-11-22 16:08:33,Працюю full-time,Немає тайтлу,Other,HR Manager / HR specialist,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,
AMeygB,G5RJOQ,2024-11-22 16:08:45,Працюю full-time,Senior,SE,Software Engineer / Software Developer,Mobile розробка,Java,Kotlin,7 років,Так,Dart,Kotlin,Ні,,Немає,,"Ні, наразі не маю таких планів",,"Android SDK (Native),Jetpack Compose",,,,Mobile Android,,10,10,,,,,,,,,,,,,,,,,,,,,,,
