language,freq2023,freq2024,freq2025
Backend,0.3332903558535327,0.2951061320754717,0.26527801687037356
Frontend,0.18050541516245489,0.16524174528301888,0.16646582888621106
Full Stack,0.1552346570397112,0.1555129716981132,0.16095713547942847
QA,0.13073749355337802,0.14386792452830188,0.1415045618867275
Mobile,0.0814853017019082,0.06972287735849056,0.07350662764675503
DevOps,0.05428055698813822,0.05675117924528302,0.05801342744017903
DS/ML/AI,0.06446621970087674,0.04569575471698113,0.05508693406782579
Analyst,0.0,0.03331367924528302,0.04734033396453779
Desktop,0.0,0.019162735849056603,0.01687037355827165
Embedded,0.0,0.015625,0.014976760199690136
