language,cnt,freq,diff,cnt_additional,si
TypeScript,1383,20.64,3.55,822,85.3
Python,1066,15.91,-1.13,1091,78.4
JavaScript,772,11.52,-1.88,1522,60.7
C#,739,11.03,-0.88,213,88.4
Java,673,10.04,-1.79,313,73.7
DB,400,5.97,2.04,1538,33.7
PHP,397,5.92,-0.84,212,64.7
C++,220,3.28,0.37,156,78.1
Kotlin,185,2.76,-0.39,145,90.5
Swift,153,2.28,0.17,98,90.3
Bash / Shell,122,1.82,1.62,555,0.0
Go,113,1.69,-0.49,217,85.0
Dart,93,1.39,0.22,39,84.1
Ruby,85,1.27,-0.17,57,83.8
C,58,,-0.14,102,60.0
Інша,43,,0.64,,0.0
PowerShell,38,,0.51,164,0.0
1C,28,,-0.21,17,51.9
Rust,24,,0.1,48,91.7
Apex,24,,,9,66.7
Scala,22,,-0.21,27,63.6
Groovy,16,,-0.27,159,30.0
Pascal / Delphi,11,,0.16,,0.0
ABAP,6,,,,50.0
SAS,6,,,,0.0
R,5,,,27,60.0
X++ / D365,5,,,,0.0
Clojure,3,,,4,100.0
Perl,3,,,10,33.3
AL,3,,,2,0.0
