language,freq2022,freq2023,freq2024,freq2025
Python,0.15351257588898526,0.16940581542351454,0.18705035971223022,0.2235294117647059
C++,0.1326973113616652,0.14285714285714285,0.15347721822541965,0.19411764705882353
JavaScript,0.21769297484822203,0.225031605562579,0.18225419664268586,0.16470588235294117
Java,0.11361665221162186,0.07206068268015171,0.11990407673860912,0.08529411764705883
C,0.07632263660017347,0.0606826801517067,0.07434052757793765,0.08529411764705883
C#,0.06678230702515178,0.06700379266750948,0.0815347721822542,0.07058823529411765
Pascal,0.10754553339115351,0.11125158027812895,0.08872901678657075,0.06764705882352941
DB,0.009540329575021683,0.025284450063211124,0.03117505995203837,0.020588235294117647
Delphi,0.013876843018213356,0.015170670037926675,0.009592326139088728,0.014705882352941176
TypeScript,0.005203816131830009,0.007585335018963337,0.014388489208633094,0.011764705882352941
