language,cnt,freq
Python,375,0.22321428571428573
Go,372,0.22142857142857142
Rust,205,0.12202380952380952
TypeScript,152,0.09047619047619047
JavaScript,86,0.05119047619047619
C++,57,0.033928571428571426
Java,55,0.03273809523809524
C#,54,0.03214285714285714
Swift,51,0.030357142857142857
Kotlin,46,0.02738095238095238
DB,33,0.019642857142857142
Dart,27,0.01607142857142857
C,22,0.013095238095238096
Scala,22,0.013095238095238096
PHP,16,0.009523809523809525
Elixir,14,0.008333333333333333
R,12,0.007142857142857143
Ruby,10,0.005952380952380952
Zig,10,0.005952380952380952
