language,freq2022,freq2023,freq2024,freq2025
Python,0.16712611991729842,0.21767159651118695,0.2242152466367713,0.22321428571428573
Go,0.17470709855272226,0.1751990898748578,0.22017937219730943,0.22142857142857142
Rust,0.12611991729841487,0.09973454683352294,0.10807174887892376,0.12202380952380952
TypeScript,0.1016540317022743,0.0925293894577171,0.08430493273542601,0.09047619047619047
JavaScript,0.10751206064782909,0.08646188850967008,0.06905829596412556,0.05119047619047619
C++,0.033425223983459686,0.03981797497155859,0.036771300448430494,0.033928571428571426
Java,0.04996554100620262,0.03450891164201744,0.04439461883408072,0.03273809523809524
C#,0.04066161268090972,0.037163443306788016,0.03452914798206278,0.03214285714285714
Swift,0.04135079255685734,0.04209328782707622,0.02914798206278027,0.030357142857142857
Kotlin,0.02997932460372157,0.030337504740235114,0.02780269058295964,0.02738095238095238
DB,0.00895933838731909,0.015927189988623434,0.015246636771300448,0.019642857142857142
Dart,0.03652653342522398,0.03375047402351156,0.016591928251121078,0.01607142857142857
Scala,0.02377670572019297,0.014031095942358742,0.01210762331838565,0.013095238095238096
C,0.005513439007580979,0.00720515737580584,0.009417040358744395,0.013095238095238096
PHP,0.007236388697450034,0.008342813803564657,0.008968609865470852,0.009523809523809525
