language,cnt,freq
TypeScript,1962,0.19402689873417722
Python,1876,0.18552215189873417
JavaScript,1052,0.10403481012658228
Go,901,0.08910205696202532
C#,862,0.08524525316455696
Java,689,0.0681368670886076
DB,567,0.056071993670886076
C++,345,0.034117879746835444
Rust,335,0.033128955696202535
Kotlin,333,0.03293117088607595
PHP,326,0.03223892405063291
Swift,228,0.02254746835443038
Dart,147,0.014537183544303797
Ruby,95,0.009394778481012658
C,88,0.00870253164556962
Scala,63,0.006230221518987342
Elixir,23,0.002274525316455696
R,23,0.002274525316455696
1C,20,0.001977848101265823
