language,freq2023,freq2024,freq2025
Swift,0.2374429223744292,0.25868725868725867,0.240625
Kotlin,0.2899543378995434,0.31467181467181465,0.2390625
Dart,0.1324200913242009,0.14285714285714285,0.14375
TypeScript,0.06963470319634703,0.07335907335907337,0.0984375
Python,0.03538812785388128,0.0444015444015444,0.0640625
Go,0.0228310502283105,0.02702702702702703,0.05
JavaScript,0.026255707762557076,0.03861003861003861,0.0390625
C#,0.08333333333333333,0.025096525096525095,0.03125
Rust,0.01141552511415525,0.019305019305019305,0.0234375
Java,0.030821917808219176,0.011583011583011582,0.0203125
