language,freq2024,freq2025
DB,0.5442477876106194,0.6593406593406593
Python,0.3672566371681416,0.23809523809523808
JavaScript,0.02654867256637168,0.03663003663003663
R,0.008849557522123894,0.014652014652014652
Java,0.004424778761061947,0.01098901098901099
Groovy,0.008849557522123894,0.007326007326007326
SAS,0.008849557522123894,0.007326007326007326
1C,0.0,0.007326007326007326
C#,0.004424778761061947,0.003663003663003663
Apex,0.0,0.003663003663003663
Go,0.0,0.003663003663003663
PowerShell,0.0,0.003663003663003663
Інша,0.0,0.003663003663003663
ABAP,0.004424778761061947,0.0
DAX,0.004424778761061947,0.0
