language,cnt,freq
Java,394,0.25617685305591675
C#,251,0.16319895968790638
PHP,246,0.1599479843953186
Python,227,0.14759427828348504
TypeScript,140,0.09102730819245773
Go,76,0.0494148244473342
JavaScript,50,0.032509752925877766
Ruby,44,0.02860858257477243
C++,41,0.026657997399219768
Kotlin,18,0.011703511053315995
Rust,14,0.009102730819245773
Scala,11,0.007152145643693108
DB,10,0.006501950585175552
Clojure,3,0.0019505851755526658
C,2,0.0013003901170351106
Erlang,2,0.0013003901170351106
Pascal / Delphi,2,0.0013003901170351106
Інша,2,0.0013003901170351106
1C,1,0.0006501950585175553
ABAP,1,0.0006501950585175553
Apex,1,0.0006501950585175553
Perl,1,0.0006501950585175553
X++ / D365,1,0.0006501950585175553
