language,freq2023,freq2024,freq2025
Python,0.5604838709677419,0.7774193548387097,0.746875
DB,0.3024193548387097,0.14193548387096774,0.171875
Scala,0.02217741935483871,0.02903225806451613,0.01875
Java,0.020161290322580645,0.016129032258064516,0.015625
C++,0.008064516129032258,0.0064516129032258064,0.009375
JavaScript,0.004032258064516129,0.0032258064516129032,0.009375
TypeScript,0.0020161290322580645,0.0032258064516129032,0.009375
R,0.016129032258064516,0.0064516129032258064,0.003125
SAS,0.008064516129032258,0.0,0.003125
Rust,0.0020161290322580645,0.0,0.003125
