language,cnt,freq
TypeScript,303,0.32545649838882923
C#,199,0.21374865735767992
JavaScript,146,0.15682062298603652
PHP,103,0.11063372717508056
Java,51,0.05477980665950591
Python,46,0.04940923737916219
Ruby,34,0.036519871106337275
C++,8,0.008592910848549946
DB,7,0.007518796992481203
Go,7,0.007518796992481203
Kotlin,6,0.00644468313641246
Apex,4,0.004296455424274973
1C,3,0.00322234156820623
Pascal / Delphi,3,0.00322234156820623
Інша,3,0.00322234156820623
ABAP,2,0.0021482277121374865
Dart,2,0.0021482277121374865
X++ / D365,2,0.0021482277121374865
Bash / Shell,1,0.0010741138560687433
Scala,1,0.0010741138560687433
