language,freq2022,freq2023,freq2024,freq2025
TypeScript,0.15875,0.19532554257095158,0.23646723646723647,0.32545649838882923
C#,0.24125,0.25125208681135225,0.21937321937321938,0.21374865735767992
JavaScript,0.231875,0.18697829716193656,0.1908831908831909,0.15682062298603652
PHP,0.124375,0.11936560934891485,0.12630579297245964,0.11063372717508056
Java,0.06875,0.0676126878130217,0.06267806267806268,0.05477980665950591
Python,0.04,0.03672787979966611,0.04368471035137702,0.04940923737916219
Ruby,0.028125,0.0333889816360601,0.03133903133903134,0.036519871106337275
C++,0.0225,0.017529215358931552,0.00949667616334283,0.008592910848549946
Go,0.0075,0.007512520868113523,0.005698005698005698,0.007518796992481203
DB,0.004375,0.004173622704507512,0.003798670465337132,0.007518796992481203
Kotlin,0.004375,0.004173622704507512,0.005698005698005698,0.00644468313641246
Apex,0.03125,0.0325542570951586,0.018043684710351376,0.004296455424274973
1C,0.01625,0.02003338898163606,0.029439696106362774,0.00322234156820623
Pascal / Delphi,0.0,0.0,0.0,0.00322234156820623
Інша,0.0,0.0,0.0,0.00322234156820623
