language,cnt,freq
TypeScript,209,0.2570725707257073
Java,152,0.18696186961869618
Python,149,0.18327183271832717
JavaScript,139,0.17097170971709716
C#,74,0.0910209102091021
DB,40,0.04920049200492005
Kotlin,12,0.014760147601476014
Bash / Shell,6,0.007380073800738007
PHP,5,0.006150061500615006
C,4,0.004920049200492005
Groovy,4,0.004920049200492005
Swift,4,0.004920049200492005
Інша,4,0.004920049200492005
C++,3,0.0036900369003690036
Go,3,0.0036900369003690036
PowerShell,2,0.0024600246002460025
Ruby,2,0.0024600246002460025
Dart,1,0.0012300123001230013
