language,freq2023,freq2024,freq2025
TypeScript,0.1317365269461078,0.1885245901639344,0.2570725707257073
Java,0.26447105788423153,0.22848360655737704,0.18696186961869618
Python,0.19560878243512975,0.21311475409836064,0.18327183271832717
JavaScript,0.22255489021956087,0.17008196721311475,0.17097170971709716
C#,0.09481037924151696,0.09221311475409837,0.0910209102091021
DB,0.023952095808383235,0.03278688524590164,0.04920049200492005
Kotlin,0.012974051896207584,0.012295081967213115,0.014760147601476014
Bash / Shell,0.0,0.0010245901639344263,0.007380073800738007
PHP,0.007984031936127744,0.015368852459016393,0.006150061500615006
Groovy,0.006986027944111776,0.010245901639344262,0.004920049200492005
Swift,0.00499001996007984,0.006147540983606557,0.004920049200492005
C,0.00499001996007984,0.0020491803278688526,0.004920049200492005
Інша,0.0,0.0,0.004920049200492005
C++,0.000998003992015968,0.005122950819672131,0.0036900369003690036
Go,0.003992015968063872,0.0020491803278688526,0.0036900369003690036
